Pharmacy,Populations,Percent
OFFICE PRACTICE OF PHARMACY,[['37003040400']],[0.15318667098026528]
RITE AID - 11343,"[['37105030401', '37105030300']]",[0.16045594037702762]
WALGREENS - 11894,[['37063002023']],[0.07596253902185224]
WALGREENS - 7548,"[['37127010506', '37127010506']]",[0.09861197431116636]
BI-LO - 211,"[['37111970300', '37111970400']]",[0.16784828075150657]
CVS - 4467,"[['37089930701', '37089930702', '37089980100', '37089930701']]",[0.12303206997084548]
PUNGO RIVER PHARMACY,"[['37013930101', '37013930102']]",[0.17872506843957764]
RITE AID - 11322,"[['37067002701', '37067002804', '37067002701']]",[0.09997839472831371]
DILWORTH DRUG,"[['37119003500', '37119003500']]",[0.04309687261632342]
RITE AID - 11379,"[['37183053204', '37183053204']]",[0.07057777777777778]
RITE AID - 11428,[['37055970302']],[0.1502313990744037]
WALGREENS - 6547,[['37051001200']],[0.1671542812560952]
HARRIS TEETER - 220,[['37119005527']],[0.07147766323024055]
FISHER RX DIRECT PHARMACY,[['37045951000']],[0.16214720531267293]
FOOD LION - 1358,"[['37183054016', '37183054019']]",[0.0536718200983837]
HILLCREST CONVALESCENT CENTER,"[['37063000402', '37063000500', '37063001503', '37063001503']]",[0.06356245380635625]
WAKE FOREST UNIVERSITY BAPTIST MEDICAL CENTER PHARMACY,"[['37067001000', '37067001100', '37067001100']]",[0.09507494646680942]
JOHNSON DRUG AND HOME MEDICAL,[['37133001301']],[0.22131147540983606]
BORDEAUX DRUG COMPANY,"[['37051001701', '37051001701']]",[0.23985374771480805]
BROOKCARE PHARMACY SERVICES,"[['37067004013', '37067004014']]",[0.11854103343465046]
HARRIS TEETER - 341,[['37081013602']],[0.1298434693353862]
WAL-MART SUPERCENTER - 4458,"[['37183053206', '37183053204']]",[0.09535182803600956]
RITE AID - 11394,"[['37183052505', '37183052506', '37183053714', '37183053715', '37183052506']]",[0.09768652073081056]
CANNON PHARMACY,[['37023020802']],[0.1412867765923052]
WALGREENS - 9527,"[['37081013602', '37081013602']]",[0.1298434693353862]
BRYSON CITY HEALTH MART PHARMACY,"[['37173960200', '37173960301', '37173960302', '37173980200', '37173960200']]",[0.20235554501620426]
HUDSON DISCOUNT DRUG,"[['37027030400', '37027030700', '37027030600']]",[0.21961129545608452]
SEA LEVEL PHARMACY,"[['37031970101', '37031970102', '37031980100', '37031990200', '37137990100', '37031970101']]",[0.15850073493385594]
WAL-MART SUPERCENTER - 2058,[['37183052701']],[0.08299566857621908]
PENDER MEMORIAL HOSPITAL,"[['37141920403', '37141920403']]",[0.23773987206823027]
WAYNESVILLE PHARMACY INCORPORATED,"[['37087921201', '37087921201']]",[0.2423417290673928]
RITE AID - 11503,"[['37051000600', '37051000702', '37051000702']]",[0.13187520102926986]
FORT BRAGG - WOMACK ARMY MEDICAL CENTER - CLARK HEALTH CLINIC-DOD,"[['37051003404', '37051003410', '37051003410']]",[0.004262574595055414]
ROCK DRUG STORE INCORPORATED,"[['37023020902', '37023020902']]",[0.1691198558125563]
COCHRANE-RIDENHOUR DRUG COMPANY,"[['37123960401', '37123960402', '37123960401']]",[0.21982966414912422]
HUNTER DRUG COMPANY INCORPORATED,"[['37185950300', '37185950400', '37185950300']]",[0.16834810965046368]
RITE AID - 11382,[['37145920400']],[0.24196221411998675]
CVS - 4253,"[['37067004012', '37067004011']]",[0.08810949529512403]
ID CONSULTANTS PHARMACY,"[['37119002910', '37119003102', '37119003111']]",[0.07942954287873064]
PROFESSIONAL PHARMACY,"[['37077970101', '37077970102', '37077970200', '37077970400']]",[0.17364495860003523]
CVS - 5341,"[['37179021013', '37179021014', '37179021015', '37179021013']]",[0.08677308512026445]
WAL-MART SUPERCENTER - 5320,[['37081012612']],[0.16122250970245797]
GLOBAL RX,"[['37135011103', '37135011107', '37135011211', '37135011107']]",[0.11228300032754668]
TAS DRUG,"[['37045950301', '37071030602', '37109070500', '37071030700']]",[0.1576957580417788]
RITE AID - 11345,"[['37057060601', '37057060700', '37081014408']]",[0.1304054054054054]
LINCOLN COMMUNITY HEALTH CENTER,"[['37063000700', '37063001001', '37063001301', '37063001400', '37063002300', '37063001301']]",[0.15893618375007953]
EAST CAROLINA UNIVERSTIY BRODY SCHOOL OF MEDICINE - BRODY OUTPATIENT PHARMACY,[['37147000701']],[0.15867158671586715]
NORTHWOODS DRUG COMPANY INCORPORATED,"[['37133001400', '37133001500', '37133001700', '37133001700']]",[0.21097572675813106]
HARRIS TEETER - 274,"[['37097061203', '37097061204', '37097061402']]",[0.07217548076923076]
CVS - 5583,"[['37119000700', '37119000900', '37119001400', '37119001400']]",[0.06708634783425726]
INGLES MARKETS - 147,"[['37045950302', '37045950601', '37045950604', '37045950601']]",[0.16526251185627405]
WAL-MART SUPERCENTER - 1385,[['37071031303']],[0.19258496395468588]
WALGREENS - 6690,[['37067002701']],[0.10038824181919023]
WAL-MART SUPERCENTER - 2472,"[['37067003805', '37067003805']]",[0.13403012603750383]
WAL-MART SUPERCENTER - 1132,"[['37151030804', '37151030806', '37151030201']]",[0.1687098657326328]
WALGREENS - 11692,[['37179020602']],[0.11983181499649614]
WALGREENS - 9931,[['37129011612']],[0.05668430937339935]
RITE AID - 11417,"[['37147000201', '37147000303']]",[0.07572412001558644]
BEACH PHARMACY,"[['37055970502', '37055990200', '37095990100', '37095990200', '37055970502']]",[0.15511265164644714]
VILLAGE PHARMACY,"[['37117970400', '37117970600', '37117970600']]",[0.2474077377634073]
RITE AID - 11448,"[['37025041001', '37025041002', '37025041201', '37159051502', '37159051801', '37025041002']]",[0.1561464850938535]
CVS - 5591,"[['37097061001', '37097060100']]",[0.11876958131586443]
RITE AID - 11459,"[['37071031004', '37071031102', '37071031204', '37071031102']]",[0.1659021406727829]
BRAME HUIE PHARMACY,[['37193960700']],[0.17062838314897624]
RITE AID - 11439,"[['37071030302', '37071030902', '37071030902']]",[0.15483603154836031]
SENIOR CARE PHARMACY,"[['37119005713', '37119005721', '37119005720']]",[0.08478366553232863]
CAROLINAS MEDICAL CENTER - BIDDLE POINT PHARMACY,"[['37119004102', '37119004500', '37119004700', '37119004700']]",[0.06889931740614334]
SALISBURY PHARMACY / MEDEXPRESS PHARMACY,"[['37159050400', '37159050400']]",[0.14490818030050084]
COOR'S PHARMACY AND MEDICAL SUPPLY,[['37191001900']],[0.1329394387001477]
CVS - 7013,"[['37021002803', '37021002702']]",[0.15955101222689919]
HARRIS TEETER - 272,"[['37119006210', '37119006220', '37119006221', '37119006209']]",[0.058863204365687656]
CVS - 7597,"[['37085070600', '37085070700', '37085070801', '37085070802', '37085070700']]",[0.1652137034070025]
CVS - 5568,"[['37041930102', '37041930201', '37041930202', '37041930101']]",[0.1687776141384389]
CVS - 5463,"[['37119005615', '37119005618', '37119005615']]",[0.06572651725006295]
RITE AID - 11336,[['37081016506']],[0.10089598753408648]
HAYESVILLE PHARMACY,"[['37043950201', '37043950201']]",[0.18859794497845542]
CVS - 7056,"[['37119004600', '37119004800', '37119005000', '37119004600']]",[0.1160884483415936]
GOLDSBORO DRUG COMPANY,"[['37191001500', '37191001800', '37191002000', '37191001800']]",[0.1946010797840432]
MEDICAL CENTER PHARMACY,"[['37035010900', '37035010900']]",[0.18611793611793612]
WALGREENS - 11713,"[['37101041112', '37101041113', '37183052902', '37101041112']]",[0.08834942267650955]
FAMILY MEDICAL SUPPLY,[['37085070500']],[0.1646897025958398]
SHELBY DRUGSTORE,"[['37045950800', '37045950900']]",[0.18985695708712613]
STANELY APOTHECARY,"[['37119001801', '37119001801']]",[0.0729483282674772]
LEXINGTON DRUG COMPANY,[['37057061400']],[0.16143941895014857]
WALGREENS - 7699,[['37025042402']],[0.10657306955966815]
INGLES MARKETS - 3,"[['37021001602', '37021001700', '37021001601']]",[0.09386112670784204]
RITE AID - 11368,[['37183053425']],[0.05928085519922255]
SAMS PHARMACY,"[['37061090801', '37061090803', '37061090804', '37061090804']]",[0.15089136215896778]
CVS - 7043,"[['37061090102', '37061090401', '37061090402', '37061090401']]",[0.1928676111382511]
WALGREENS - 10891,[['37045951000']],[0.16214720531267293]
CVS - 3440,"[['37179021016', '37179021016']]",[0.02782392026578073]
WALGREENS - 5761,"[['37119003201', '37119003203', '37119003110']]",[0.057180851063829786]
RITE AID - 11349,"[['37081012619', '37081012619']]",[0.15323025952512423]
FARM FRESH - 6273,[['37139960300']],[0.24727272727272728]
WALGREENS - 9090,[['37001021000']],[0.12276975361087511]
CVS - 7529,"[['37183054108', '37183054112', '37183054112']]",[0.10633526443655392]
FAYETTEVILLE TREATMENT CENTER,"[['37051000200', '37051001401', '37051001402', '37051003800']]",[0.2554736729680658]
CABARRUS HEALTH ALLIANCE,"[['37025042101', '37025042202', '37025042101']]",[0.08704735376044569]
COOPERS PHARMACY INCORPORATED,"[['37125950503', '37125950504', '37125950507', '37125950507']]",[0.12242295430393199]
CVS - 7349,"[['37025042402', '37025042402']]",[0.10657306955966815]
CAROLINA DRUG,"[['37151031303', '37151031504', '37151031505', '37151031504']]",[0.13503518413888746]
RITE AID - 11471,"[['37119002701', '37119002800', '37119002701']]",[0.053458477861660886]
AVERY PHARMACY,"[['37011930200', '37011930200']]",[0.17240089753178758]
CORAM SPECIALTY INFUSION SERVICES,"[['37183053612', '37183053609']]",[0.06935483870967742]
CVS - 7550,"[['37133000401', '37133000405']]",[0.10914255812214996]
CVS - 4197,"[['37089930502', '37089930600', '37089930600']]",[0.1507607192254495]
RITE AID - 11367,"[['37135011500', '37135012103']]",[0.07030067056024226]
RITE AID - 11388,"[['37183050300', '37183051102', '37183051200', '37183051200']]",[0.053576827719658944]
CVS - 5508,[['37017950401']],[0.17664943751900275]
WALGREENS - 11892,"[['37097061401', '37097061405', '37097061406', '37097061405']]",[0.06269972451790634]
WAL-MART - 1498,[['37081015705']],[0.0890302066772655]
KM HEALTH MART PHARMACY,"[['37045950400', '37045950400']]",[0.16714509394572025]
RITE AID - 11476,"[['37119002202', '37119002202']]",[0.0751188589540412]
WALGREENS - 11629,"[['37035010301', '37035010302', '37035010303', '37035010304', '37035010304']]",[0.12025678770035983]
FAMILYMED PHARMACY,"[['37035011601', '37035011702', '37109070901', '37035011601']]",[0.1335213218561393]
WAL-MART SUPERCENTER - 1236,"[['37191001302', '37191001302']]",[0.16189697465249386]
RITE AID - 11514,"[['37191000603', '37191000700']]",[0.11102403343782655]
MARKET STREET PHARMACY,"[['37129010100', '37129010200', '37129011200', '37129010200']]",[0.16444728201386355]
SEASHORE DURGS,"[['37019020304', '37019020313', '37019020314', '37019020315', '37019020316', '37019020315']]",[0.14459154766722554]
ANDERSON DRUG STORE,"[['37017950101', '37017950401']]",[0.2020083682008368]
PHYSICIANS PHARMACY ALLIANCE,"[['37183053405', '37183053419', '37183053405']]",[0.07018076864651375]
MARS HILL MEDICAL CENTER,[['37115010602']],[0.14726389182336785]
INGLES MARKETS - 177,"[['37089931401', '37089931402', '37089931500', '37089931402']]",[0.14624659665499806]
BYNUM'S DRUG STORE,"[['37049960102', '37049960800', '37049960900', '37049960900']]",[0.16278429933969185]
CVS - 3527,"[['37151030100', '37151030202', '37151030700', '37151030201']]",[0.19234916851126624]
CRAMERTON DRUG COMPANY,"[['37071032202', '37071032403', '37071032508', '37071032510', '37071032202']]",[0.13131224882054868]
CVS - 7573,"[['37007920301', '37179020100', '37179020800', '37179020800']]",[0.13613192074116762]
HARRIS TEETER - 287,"[['37147001003', '37147000301']]",[0.1142572034426843]
CVS - 7884,"[['37021002204', '37021002303', '37021002304', '37021002204']]",[0.12328609286784192]
CVS - 3828,[['37171930901']],[0.18497876857749468]
TYRO FAMILY PHARMACY,"[['37057061701', '37057061703', '37057061704', '37057061705', '37059080400', '37057061703']]",[0.1593116437091473]
NORTHSIDE FAMILY PHARMACY,"[['37065020600', '37127010603', '37127010700', '37127010801', '37127010603']]",[0.14006745961299485]
BEAUFORT DRUG COMPANY,[['37031970305']],[0.1270358306188925]
INGLES MARKET - 33,"[['37121950300', '37121950300']]",[0.17084942084942084]
RITE AID - 11533,"[['37031970103', '37031970200', '37031970301', '37031970304', '37031970304']]",[0.19340019906592146]
NATURE'S PHARMACY AND COMPOUNDING CENTER,"[['37021000800', '37021000800']]",[0.0935483870967742]
RITE AID - 11561,[['37087920900']],[0.1960210649502633]
MEDSOURCE PHARMACY,"[['37107010700', '37107010700']]",[0.3470294280955025]
WALGREENS - 7398,"[['37181961000', '37181960500']]",[0.18152093661006222]
CVS - 7213,"[['37119005849', '37119005849']]",[0.07883165829145729]
RITE AID - 11478,"[['37119001911', '37119001920', '37119001910']]",[0.09624948803463812]
BOONE DRUG,[['37189920601']],[0.1330686917500863]
PERSON STREET PHARMACY,"[['37183050400', '37183050500', '37183050600', '37183050400']]",[0.07643652561247216]
CHINA GROVE DRUG COMPANY,"[['37159051201', '37159051700', '37159051700']]",[0.15988092512021984]
CVS - 7317,"[['37193960300', '37193960401', '37193960402', '37193960500', '37193960500']]",[0.22639495883728022]
WAL-MART SUPERCENTER - 1317,[['37021001900']],[0.13318112633181126]
KEEVER PHARMACY,"[['37109070300', '37109070100']]",[0.16076447442383363]
CVS - 2754,"[['37183053617', '37183053618', '37183053617']]",[0.041875077508164195]
INGLES MARKETS - 24,"[['37021002306', '37021002306']]",[0.12191397302112497]
CVS - 2561,"[['37119003019', '37119003020']]",[0.10369659145463274]
LONGLEAF NEURO MEDICAL TREATMENT CENTER,"[['37195000701', '37195000702', '37195001200', '37195000801']]",[0.20433135864814994]
PIKE'S PHARMACY,"[['37119001200', '37119001300', '37119001300']]",[0.08420268256333831]
PINK HILL PHARMACY INCORPORATED,"[['37107011201', '37061090504']]",[0.21355185909980431]
WAL-MART SUPERCENTER - 1392,"[['37129011501', '37129011605', '37129011606', '37129010501']]",[0.09622594351412148]
WAL-MART SUPERCENTER - 1034,"[['37045951602', '37045951000']]",[0.17660920253007564]
WAL-MART SUPERCENTER - 3595,"[['37051003206', '37093970108', '37051003206']]",[0.132179630318819]
NORTHERN HOSPITAL OF SURRY COUNTY,"[['37171930400', '37171930400']]",[0.2752785802723896]
RITE AID - 11443,"[['37071033306', '37071033309', '37071033312', '37071033313', '37071032702']]",[0.1279371184881679]
HEALTH PARK PHARMACY,"[['37183053723', '37183053723']]",[0.16818440523619807]
TODD'S PHARMACY OF CURRITUCK,"[['37029950101', '37053110102', '37053110201', '37053110202', '37053110301', '37053110201']]",[0.10920803334596438]
FAMILY CARE PHARMACY OF JACKSONVILLE,"[['37133002600', '37133002600']]",[0.1409204423831609]
WOODARDS PHARMACY,"[['37143920101', '37143920201', '37143920201']]",[0.1921835370071478]
HARRIS TEETER - 91,"[['37081012703', '37081012703']]",[0.154380461572933]
COOKES PHARMACY INCORPORATED,"[['37097060400', '37097060400']]",[0.17763157894736842]
INGLES MARKETS - 34,[['37021003002']],[0.24613839005399976]
