NAME,ADDRESS,CITY,STATE,ZIP,ZIPP4,COUNTY,Geo Point,X,Y
MEDICAL PARK PHARMACY,2316 SOUTH MAIN STREET,LEXINGTON,NC,27292,3655,DAVIDSON,"35.802948095078484, -80.28451630618258",-80.284516,35.802948
CVS - 3504,201 WEST 4TH STREET,WINSTON SALEM,NC,27101,2823,FORSYTH,"36.09846375999448, -80.24605704439703",-80.246057,36.098464
CVS - 2771,11911 UNITED STATES 70 BUSINESS HIGHWAY WEST,CLAYTON,NC,27520,,JOHNSTON,"35.656782209231544, -78.47993231872151",-78.479932,35.656782
KERR DRUG,126 EAST MACON STREET,WARRENTON,NC,27589,2018,WARREN,"36.398467087785825, -78.15297744954964",-78.152977,36.398467
KERR HEALTH LONG TERM CARE PHARMACY,8431 GARVEY DRIVE,RALEIGH,NC,27616,3267,WAKE,"35.89493026831717, -78.56929203739757",-78.569292,35.89493
RITE AID - 11429,5312 NORTH VIRGINIA DARE TRAIL,KITTY HAWK,NC,27949,5917,DARE,"36.0998503581075, -75.71366929280362",-75.713669,36.09985
CVS - 4435,9539 CLIFFDALE ROAD,FAYETTEVILLE,NC,28304,5956,CUMBERLAND,"35.02956028877627, -79.06093803426282",-79.060938,35.02956
COURT HOUSE BAY PHARMACY-DOD,100 BREWSTER BOULEVARD,CAMP LEJEUNE,NC,28547,2538,ONSLOW,"34.725229530318515, -77.34458692035008",-77.344587,34.725229
HADNOT POINT BRANCH MEDICAL CLINIC PHARMACY-DOD,100 BREWSTER BOULEVARD,CAMP LEJEUNE,NC,28547,2538,ONSLOW,"34.72523004293213, -77.34458683311583",-77.344587,34.72523
WAL-MART SUPERCENTER - 1348,5135 CAROLINA BEACH ROAD,WILMINGTON,NC,28412,2516,NEW HANOVER,"34.146480228179925, -77.89739572053604",-77.897396,34.14648
ONEALS DRUG STORE OF NEWPORT,7075 UNITED STATES HIGHWAY 70 EAST,NEWPORT,NC,28570,,CARTERET,"34.79060807750072, -76.8791145054301",-76.879115,34.790608
WAL-MART SUPERCENTER - 3503,1585 LIBERTY DRIVE,THOMASVILLE,NC,27360,6356,DAVIDSON,"35.85564836787783, -80.06539046239992",-80.065391,35.855648
SAM'S CLUB - 6348,11425 CAROLINA PLACE PARKWAY,PINEVILLE,NC,28134,8816,MECKLENBURG,"35.0777058479465, -80.8738750247126",-80.873875,35.077706
MARSHVILLE PHARMACY,6330A WEST MARSHVILLE BOULEVARD,MARSHVILLE,NC,28103,1175,UNION,"34.98543905097142, -80.37229791251865",-80.372298,34.985439
LIBERTY DRUG STORE,510 NORTH GREENSBORO STREET,LIBERTY,NC,27298,2601,RANDOLPH,"35.86113445269278, -79.57199827619942",-79.571998,35.861134
HICKS PHARMACY,1072 NORTH MAIN STREET,WALNUT COVE,NC,27052,9312,STOKES,"36.311724601309265, -80.13867851190376",-80.138678,36.311725
CHEROKEE INDIAN HOSPITAL,1 HOSPITAL ROAD,CHEROKEE,NC,28719,,SWAIN,"35.48482376890176, -83.32338583448863",-83.323386,35.484824
SAM'S CLUB - 4798,284 SUMMIT SQUARE BOULEVARD,WINSTON SALEM,NC,27105,1461,FORSYTH,"36.18668256994464, -80.27142923686976",-80.271429,36.186683
PIEDMONT PLAZA OUTPATIENT PHARMACY,1920 WEST 1ST STREET,WINSTON SALEM,NC,27104,4220,FORSYTH,"36.095770755416005, -80.2737554799314",-80.273755,36.095771
HARRIS TEETER - 45,10616 PROVIDENCE ROAD,CHARLOTTE,NC,28277,233,MECKLENBURG,"35.06652354182795, -80.77178434307295",-80.771784,35.066524
SAM'S CLUB - 4945,5085 DAWN DRIVE,LUMBERTON,NC,28360,8209,ROBESON,"34.66930210780599, -79.01016989012831",-79.01017,34.669302
RITE AID - 11393,1601-51 CROSS LINK ROAD,RALEIGH,NC,27610,4186,WAKE,"35.75518684769485, -78.61480311447211",-78.614803,35.755187
WAL-MART SUPERCENTER - 4273,1112 NEW POINTE BOULEVARD,LELAND,NC,28451,4115,BRUNSWICK,"34.20987589885362, -78.02307972035281",-78.02308,34.209876
CLEVELAND DRUG COMPANY,11745 STATESVILLE BOULEVARD,CLEVELAND,NC,27013,9419,ROWAN,"35.728682416859996, -80.6939857834171",-80.693986,35.728682
WALGREENS - 6688,542 RIVER HIGHWAY,MOORESVILLE,NC,28117,6829,IREDELL,"35.5956882472148, -80.86810516961786",-80.868105,35.595688
KERR DRUG,722 WEST INDEPENDENCE BOULEVARD,MOUNT AIRY,NC,27030,3574,SURRY,"36.49956405004086, -80.62074999171872",-80.62075,36.499564
CVS - 1218,5210 REIDSVILLE ROAD,WALKERTOWN,NC,27051,9405,FORSYTH,"36.16520867414095, -80.13609413913318",-80.136094,36.165209
CVS - 7548,605 NORTH MAIN STREET,FUQUAY VARINA,NC,27526,2026,WAKE,"35.591829777921866, -78.79368399002406",-78.793684,35.59183
WAL-MART SUPERCENTER - 2929,3030 NORTH MAIN STREET,HOPE MILLS,NC,28348,1722,CUMBERLAND,"34.980050418491984, -78.9650341945724",-78.965034,34.98005
SUPERTARGET,1201 BEAVER CREEK COMMONS DRIVE,APEX,NC,27502,3922,WAKE,"35.744247212838545, -78.87759939289764",-78.877599,35.744247
HARRIS TEETER - 66,7852 REA ROAD,CHARLOTTE,NC,28277,6502,MECKLENBURG,"35.05992061684297, -80.81671863635594",-80.816719,35.059921
YADKIN VALLEY PHARMACY,207A ASH STREET,YADKINVILLE,NC,27055,6869,YADKIN,"36.11724799489898, -80.65795057316039",-80.657951,36.117248
FALLSTON PHARMACY,5011 FALLSTON ROAD,LAWNDALE,NC,28090,9585,CLEVELAND,"35.43385864625952, -81.50221997177422",-81.50222,35.433859
WALGREENS - 12562,2912 MAIN STREET,WALKERTOWN,NC,27051,9324,FORSYTH,"36.1694884695172, -80.15171666709048",-80.151717,36.169488
CVS - 8417,3581 DAVIS DRIVE,MORRISVILLE,NC,27560,8820,WAKE,"35.81952484599479, -78.84835126719717",-78.848351,35.819525
CVS - 3120,301 UNITED STATES HIGHWAY 70,RUTHERFORD COLLEGE,NC,28671,,BURKE,"35.74000598668691, -81.52663392491569",-81.526634,35.740006
CVS - 7547,902 ALBEMARLE ROAD,TROY,NC,27371,8683,MONTGOMERY,"35.347363623532374, -79.91371526404814",-79.913715,35.347364
ISLAND PHARMACY,210 SOUTH UNITED STATES HIGHWAY 64,MANTEO,NC,27954,,DARE,"35.90307682833292, -75.67322259224878",-75.673223,35.903077
MEDICAP PHARMACY,317 1ST STREET EAST,CONOVER,NC,28613,1715,CATAWBA,"35.70517735545057, -81.21579208923349",-81.215792,35.705177
CVS - 4490,2580 COURT DRIVE,GASTONIA,NC,28054,2139,GASTON,"35.2732608772876, -81.13569317979642",-81.135693,35.273261
CVS - 7021,2203 WAYNE MEMORIAL DRIVE,GOLDSBORO,NC,27534,1723,WAYNE,"35.39865764263606, -77.96292939717391",-77.962929,35.398658
RITE AID - 11406,1311 NC HIGHWAY 54,DURHAM,NC,27707,5505,DURHAM,"35.918078745837406, -78.96224933054211",-78.962249,35.918079
MEDICAL VILLAGE PHARMACY INCORPORATED,815 FAIRGROVE CHURCH ROAD SOUTHEAST,CONOVER,NC,28613,8609,CATAWBA,"35.71431203657119, -81.26446815218343",-81.264468,35.714312
WAL-MART SUPERCENTER - 2005,2420 SUPERCENTER DRIVE NORTHEAST,KANNAPOLIS,NC,28083,6426,CABARRUS,"35.46254650062046, -80.59468956157399",-80.59469,35.462547
CVS - 7049,10100 SOUTH MAIN STREET,ARCHDALE,NC,27263,3134,RANDOLPH,"35.901737449123964, -79.95107224119094",-79.951072,35.901737
RITE AID - 11344,901 RANDOLPH STREET,THOMASVILLE,NC,27360,5716,DAVIDSON,"35.87060037660608, -80.07395075552293",-80.073951,35.8706
TOWNSEND'S PHARMACY,111 SOUTH MAIN STREET,RED SPRINGS,NC,28377,1511,ROBESON,"34.815906003059574, -79.18215456997738",-79.182155,34.815906
BOULEVARD PHARMACY INCORPORATED,256 THE BOULEVARD,EDEN,NC,27288,4706,ROCKINGHAM,"36.501866857669306, -79.76623468268444",-79.766235,36.501867
THE HAWTHORNE PHARMACY,1622 SOUTH HAWTHORNE ROAD,WINSTON SALEM,NC,27103,4103,FORSYTH,"36.07832110003867, -80.2906286905616",-80.290629,36.078321
CVS - 4988,101 WEST WASHINGTON STREET,NASHVILLE,NC,27856,1353,NASH,"35.97427887157265, -77.96604586192697",-77.966046,35.974279
WALGREENS - 4548,6848 ALBEMARLE ROAD,CHARLOTTE,NC,28212,3854,MECKLENBURG,"35.201687412244254, -80.72663776482094",-80.726638,35.201687
WALGREENS - 12045,2825 SOUTH CHURCH STREET,BURLINGTON,NC,27215,5105,ALAMANCE,"36.081387693787, -79.48244453508718",-79.482444,36.081388
HARRIS TEETER - 174,5706 WYALONG DRIVE,CHARLOTTE,NC,28227,7843,MECKLENBURG,"35.172891676109934, -80.70905624455",-80.709056,35.172892
KMART,3580 EAST FRANKLIN BOULEVARD,GASTONIA,NC,28056,6297,GASTON,"35.259460972046206, -81.11760399043179",-81.117604,35.259461
GREER PHARMACY,639 NUWAY CIRCLE,LENOIR,NC,28645,3646,CALDWELL,"35.94597167325411, -81.53134179308925",-81.531342,35.945972
FRANKLIN STREET PHARMACY,610 EAST FRANKLIN STREET,MONROE,NC,28112,5702,UNION,"34.97866316567251, -80.53803289140475",-80.538033,34.978663
CVS - 5557,6901 MARKET STREET,WILMINGTON,NC,28411,9727,NEW HANOVER,"34.262994486806114, -77.82937614419367",-77.829376,34.262994
CVS - 3833,200 NORTH GREENSBORO STREET,CARRBORO,NC,27510,1833,ORANGE,"35.911997780173394, -79.07086568540299",-79.070866,35.911998
FOSCOE PHARMACY,520 CHURCH ROAD,BOONE,NC,28607,8332,WATAUGA,"36.15737989586544, -81.77122943149304",-81.771229,36.15738
FALLS RIVER PHARMACY,10930 RAVEN RIDGE ROAD,RALEIGH,NC,27614,6594,WAKE,"35.90734102137099, -78.59026292979034",-78.590263,35.907341
WALGREENS - 7169,600 STONE COVE LANE,CARY,NC,27519,8407,WAKE,"35.79099376954677, -78.84966722985874",-78.849667,35.790994
KMART,2120 WEST ROOSEVELT BOULEVARD,MONROE,NC,28110,2713,UNION,"35.00776856536696, -80.55845002354968",-80.55845,35.007769
WALGREENS - 11893,115 WEST MAIN STREET,BEULAVILLE,NC,28518,8803,DUPLIN,"34.923338592002374, -77.77457598679231",-77.774576,34.923339
RITE AID - 11500,15221 JOHN J DELANEY DRIVE,CHARLOTTE,NC,28277,2742,MECKLENBURG,"35.0543618029548, -80.84768271888235",-80.847683,35.054362
CVS - 7157,13845 CONLAN CIRCLE,CHARLOTTE,NC,28277,2705,MECKLENBURG,"35.055856481591306, -80.85112382810216",-80.851124,35.055856
ADVANCED HOME CARE,2520 WHITEHALL PARK DRIVE,CHARLOTTE,NC,28273,3559,MECKLENBURG,"35.1424335989314, -80.93731312450106",-80.937313,35.142434
CVS - 4095,3026 BRAGG BOULEVARD,FAYETTEVILLE,NC,28303,4043,CUMBERLAND,"35.0753676627874, -78.9295563868178",-78.929556,35.075368
KMART,2690 PETERS CREEK PARKWAY,WINSTON SALEM,NC,27127,5655,FORSYTH,"36.0579507056605, -80.26091518368877",-80.260915,36.057951
CVS - 3524,215 NORTH CENTER STREET,STATESVILLE,NC,28677,5235,IREDELL,"35.78647846420971, -80.8897680390637",-80.889768,35.786479
CVS - 4056,200 FAYETTEVILLE STREET,RALEIGH,NC,27601,1310,WAKE,"35.77809450745551, -78.63952092245259",-78.639521,35.778095
WAL-MART - 1579,1015 LEWIS STREET,OXFORD,NC,27565,6115,GRANVILLE,"36.27985973264053, -78.60275832073987",-78.602758,36.27986
FOOD LION - 420,3808 GUESS ROAD,DURHAM,NC,27705,1506,DURHAM,"36.05819360804855, -78.92777520036519",-78.927775,36.058194
KROGER,1802 NORTH POINTE DRIVE,DURHAM,NC,27705,3408,DURHAM,"36.029815099787, -78.92045939898205",-78.920459,36.029815
THOMAS DRUGS,4750 MAIN STREET,SHALLOTTE,NC,28470,1880,BRUNSWICK,"33.97395027498514, -78.384903405168",-78.384903,33.97395
RITE AID - 11510,1721 WEST CUMBERLAND STREET,DUNN,NC,28334,4509,HARNETT,"35.31587800616499, -78.62701506879037",-78.627015,35.315878
RITE AID - 11540,5016 OLD TAR ROAD,WINTERVILLE,NC,28590,8436,PITT,"35.524356283415734, -77.38521467511713",-77.385215,35.524356
WAL-MART SUPERCENTER - 1191,501 HAMPTON POINTE BOULEVARD,HILLSBOROUGH,NC,27278,,ORANGE,"36.05616839685398, -79.08583231800706",-79.085832,36.056168
RITE AID - 11551,101 EAST FLEMING DRIVE,MORGANTON,NC,28655,3675,BURKE,"35.74060485423063, -81.68059367555763",-81.680594,35.740605
CVS - 7688,3440 WILKINSON BOULEVARD,CHARLOTTE,NC,28208,5634,MECKLENBURG,"35.22505567148203, -80.89838882778217",-80.898389,35.225056
WALGREENS - 7317,6405 FAYETTEVILLE ROAD,DURHAM,NC,27713,8713,DURHAM,"35.91155683897693, -78.93355899225365",-78.933559,35.911557
SEASHORE DISCOUNT DRUGS,2059 CAROLINA BEACH ROAD,WILMINGTON,NC,28401,7239,NEW HANOVER,"34.20389405106958, -77.9411612440961",-77.941161,34.203894
WAL-MART SUPERCENTER - 1298,2025 NORTH MARINE BOULEVARD,JACKSONVILLE,NC,28546,6920,ONSLOW,"34.77994549229061, -77.3931149243143",-77.393115,34.779945
SANDHILLS PHARMACY,310 EAST WASHINGTON STREET,ROCKINGHAM,NC,28379,3644,RICHMOND,"34.93943002827318, -79.7714882118115",-79.771488,34.93943
RITE AID - 11413,1630 BENVENUE ROAD,ROCKY MOUNT,NC,27804,6344,NASH,"35.98170542806302, -77.80899024280544",-77.80899,35.981705
KMART,4215 UNIVERSITY DRIVE,DURHAM,NC,27707,2544,DURHAM,"35.961919633484264, -78.95870194393954",-78.958702,35.96192
BI-LO - 700,3110 FINCHER FARM ROAD,MATTHEWS,NC,28105,591,MECKLENBURG,"35.082277370803965, -80.73004870268544",-80.730049,35.082277
PITT COUNTY MEMORIAL HOSPITAL PHARMACY,2100 STANTONSBURG ROAD,GREENVILLE,NC,27834,2818,PITT,"35.6076376741393, -77.4036447201277",-77.403645,35.607638
RUTHERFORD EAST PHARMACY,607 NC HIGHWAY 120,MOORESBORO,NC,28114,,RUTHERFORD,"35.29416981628395, -81.73423688212635",-81.734237,35.29417
CVS - 7047,3573 HILLSBOROUGH ROAD,DURHAM,NC,27705,2916,DURHAM,"36.021704274332755, -78.953500960401",-78.953501,36.021704
RITE AID - 11402,3725 WAKE FOREST HIGHWAY,DURHAM,NC,27703,,DURHAM,"35.98254708018356, -78.82203202835538",-78.822032,35.982547
RITE AID - 11526,2606 CAROLINA BEACH ROAD,WILMINGTON,NC,28412,1806,NEW HANOVER,"34.19095582135406, -77.93520307636088",-77.935203,34.190956
WALGREENS - 4870,735 CABARRUS AVENUE WEST,CONCORD,NC,28027,6850,CABARRUS,"35.39564750742653, -80.60741870610838",-80.607419,35.395648
TARGET,3401 RALEIGH ROAD PARKWAY WEST,WILSON,NC,27896,8219,WILSON,"35.74000530410147, -77.9654815283498",-77.965481,35.740005
RITE AID - 11464,1170 EAST MARION STREET,SHELBY,NC,28150,4845,CLEVELAND,"35.294876824605744, -81.5126992391785",-81.512699,35.294877
WAL-MART SUPERCENTER - 515,2330 UNITED STATES HIGHWAY 19,MURPHY,NC,28906,,CHEROKEE,"35.10879278595824, -84.00549499459827",-84.005495,35.108793
BI-LO - 413,2924 MOUNT HOLLY HUNTERSVILLE ROAD,CHARLOTTE,NC,28214,9396,MECKLENBURG,"35.31900288677377, -80.95148385799362",-80.951484,35.319003
THOMPSON PHARMACY,365 FALLS ROAD,ROCKY MOUNT,NC,27804,4806,NASH,"35.948548899112374, -77.7949954041146",-77.794995,35.948549
RITE AID - 11543,2659 NC HIGHWAY 127 SOUTH,HICKORY,NC,28602,9129,CATAWBA,"35.69186449425097, -81.35814229912776",-81.358142,35.691865
RITE AID - 11377,100 SOUTH BERKELEY BOULEVARD,GOLDSBORO,NC,27534,4508,WAYNE,"35.37057480987953, -77.95316912425567",-77.953169,35.370575
RITE AID - 11914,2810 NC HIGHWAY 55,CARY,NC,27519,5685,WAKE,"35.7886139394817, -78.87000764533653",-78.870008,35.788614
MISSION HOSPITAL - MEMORIAL CAMPUS,509 BILTMORE AVENUE,ASHEVILLE,NC,28801,4601,BUNCOMBE,"35.576560805836486, -82.54895895419234",-82.548959,35.576561
WALGREENS - 7622,2606 EAST ASH STREET,GOLDSBORO,NC,27534,4515,WAYNE,"35.37142795713445, -77.95408809558907",-77.954088,35.371428
RITE AID - 11521,4502 SHIPYARD BOULEVARD,WILMINGTON,NC,28403,6163,NEW HANOVER,"34.19971345541158, -77.88931331096047",-77.889313,34.199714
WAL-MART SUPERCENTER - 1300,3105 DOCTOR MARTIN LUTHER KING JUNIOR BOULEVARD,NEW BERN,NC,28562,5213,CRAVEN,"35.100903085808724, -77.08667434734325",-77.086674,35.100903
RITE AID - 11539,3500 DOCTOR MARTIN LUTHER KING JUNIOR BOULEVARD,NEW BERN,NC,28562,2226,CRAVEN,"35.09898949936586, -77.09952651193895",-77.099526,35.09899
RITE AID - 11314,6798 SHALLOWFORD ROAD,LEWISVILLE,NC,27023,9724,FORSYTH,"36.09424868253061, -80.4295341139082",-80.429534,36.094249
WAL-MART SUPERCENTER - 5346,1318 MEBANE OAKS ROAD,MEBANE,NC,27302,9681,ALAMANCE,"36.06690157075088, -79.27325400017195",-79.273254,36.066902
CVS - 7345,901 DOW ROAD,CAROLINA BEACH,NC,28428,4514,NEW HANOVER,"34.04659697207255, -77.90022567837234",-77.900226,34.046597
KERR DRUG,1812 HOLLOWAY STREET,DURHAM,NC,27703,2210,DURHAM,"35.9925205958488, -78.86979523626114",-78.869795,35.992521
WALGREENS - 9930,601 SPARTANBURG HIGHWAY,HENDERSONVILLE,NC,28792,5762,HENDERSON,"35.306864567146015, -82.4581065803544",-82.458107,35.306865
RITE AID - 11524,2401 NORTH COLLEGE ROAD,WILMINGTON,NC,28405,8814,NEW HANOVER,"34.2895693327585, -77.87228770481367",-77.872288,34.289569
RITE AID - 11520,23 SOUTH KERR AVENUE,WILMINGTON,NC,28403,1416,NEW HANOVER,"34.24166361018745, -77.88832804880039",-77.888328,34.241664
WALGREENS - 4549,9202 LAWYERS ROAD,MINT HILL,NC,28227,5144,MECKLENBURG,"35.18560729843806, -80.6890658029444",-80.689066,35.185607
RITE AID - 11554,1350 WEST D STREET,NORTH WILKESBORO,NC,28659,3506,WILKES,"36.15936024348041, -81.1559092397196",-81.155909,36.15936
HOLLADAY HEALTHCARE PHARMACY,2560 LANDMARK DRIVE,WINSTON SALEM,NC,27103,6716,FORSYTH,"36.03778865722074, -80.328459661684",-80.32846,36.037789
WALGREENS - 9988,627 EAST 12TH STREET,WASHINGTON,NC,27889,3408,BEAUFORT,"35.548132034465816, -77.0390949599644",-77.039095,35.548132
RITE AID - 11455,1208 SKYWAY DRIVE,MONROE,NC,28110,3002,UNION,"34.993698828438134, -80.54825664882523",-80.548257,34.993699
BLUE RIDGE HOME CARE,220 HOSPITAL DRIVE,SPRUCE PINE,NC,28777,8944,MITCHELL,"35.910489522673274, -82.06330763034286",-82.063308,35.910489
WAL-MART SUPERCENTER - 2730,110 RIVER OAKS DRIVE,TARBORO,NC,27886,4875,EDGECOMBE,"35.88321876963049, -77.54528124423403",-77.545281,35.883219
HARRIS TEETER - 112,270 GRANDE HEIGHTS DRIVE,CARY,NC,27513,3925,WAKE,"35.80537706410016, -78.7804114121569",-78.780411,35.805377
WAL-MART SUPERCENTER - 1127,2004 UNITED STATES HIGHWAY 74 WEST,WADESBORO,NC,28170,,ANSON,"34.98094719545667, -80.10421720785783",-80.104217,34.980947
WALGREENS - 11837,1138 SABBATH HOME ROAD SOUTHWEST,SUPPLY,NC,28462,5364,BRUNSWICK,"33.92897365780805, -78.27207422564497",-78.272074,33.928974
RITE AID - 11332,841 SOUTH MAIN STREET,GRAHAM,NC,27253,3763,ALAMANCE,"36.05505612344132, -79.40050544816789",-79.400505,36.055056
RITE AID - 11327,1107 EAST DIXIE DRIVE,ASHEBORO,NC,27203,8813,RANDOLPH,"35.694803861808715, -79.79540211131835",-79.795402,35.694804
RITE AID - 11515,244 CENTRAL PARK AVENUE,PINEHURST,NC,28374,8803,MOORE,"35.20527836650336, -79.48135770349516",-79.481358,35.205278
WILSON COMMUNITY HEALTH CENTER,303 EAST GREEN STREET,WILSON,NC,27893,,WILSON,"35.72500843269301, -77.90775099301389",-77.907751,35.725008
FORT BRAGG - WOMACK ARMY MEDICAL CENTER - JOEL CLINIC-DOD,LOGISTICS AVENUE,FORT BRAGG,NC,28310,1,CUMBERLAND,"35.13924833064589, -78.95504430495069",-78.955044,35.139248
COSTCO,1085 HANES MALL BOULEVARD,WINSTON SALEM,NC,27103,1310,FORSYTH,"36.064082661985246, -80.31789885724645",-80.317899,36.064083
HARRIS TEETER - 127,1955 PEACE HAVEN ROAD,WINSTON SALEM,NC,27106,4850,FORSYTH,"36.11797798899299, -80.31065761595617",-80.310658,36.117978
BIDDLEVILLE PHARMACY,2506 BEATTIES FORD ROAD,CHARLOTTE,NC,28216,4321,MECKLENBURG,"35.26844700962174, -80.85361285744737",-80.853613,35.268447
WOMACK ARMY MEDICAL CENTER - ROBINSON CLINIC-DOD,1722 GRUBER ROAD,FORT BRAGG,NC,28310,7901,CUMBERLAND,"35.14236835491561, -79.03266312969961",-79.032663,35.142368
WINYAH PHARMACY OF THE PIEDMONT,9731 SOUTHERN PINE BOULEVARD,CHARLOTTE,NC,28273,5542,MECKLENBURG,"35.13024638855994, -80.9163013911962",-80.916301,35.130246
DEEP RIVER DRUG,2401 HICKSWOOD ROAD,HIGH POINT,NC,27265,1537,GUILFORD,"36.024146287121404, -79.97235672268457",-79.972357,36.024146
CVS - 5500,605 COLLEGE ROAD,GREENSBORO,NC,27410,4101,GUILFORD,"36.087315543577446, -79.88897216533313",-79.888972,36.087316
RITE AID - 11506,5989 MORGANTON ROAD,FAYETTEVILLE,NC,28314,1353,CUMBERLAND,"35.07863597806788, -78.98989155305267",-78.989892,35.078636
HEALTH PAVILION NORTH PHARMACY,6387 RAMSEY STREET,FAYETTEVILLE,NC,28311,9441,CUMBERLAND,"35.15649657835438, -78.87170039965369",-78.8717,35.156497
TARGET,1204 SUNBURST DRIVE,GOLDSBORO,NC,27534,8202,WAYNE,"35.380137880358845, -77.93917069097459",-77.939171,35.380138
BREVARD DRUG COMPANY,518 SOUTH BROAD STREET,BREVARD,NC,28712,,TRANSYLVANIA,"35.22682263605574, -82.73800848480373",-82.738009,35.226823
CREEDMOOR DRUG COMPANY,108 NORTH MAIN STREET,CREEDMOOR,NC,27522,,GRANVILLE,"36.118460986984914, -78.68643284020338",-78.686433,36.118461
RITE AID - 11419,2098 EAST FIRE TOWER ROAD,GREENVILLE,NC,27858,4134,PITT,"35.566251018369755, -77.35097854242574",-77.350978,35.566251
CVS - 4135,4310 WEST WENDOVER AVENUE,GREENSBORO,NC,27407,1911,GUILFORD,"36.05770914326233, -79.88966397781029",-79.889664,36.057709
HOSPITAL PHARMACY INCORPORATED,814 WORTH STREET,MOUNT AIRY,NC,27030,4561,SURRY,"36.48993065077888, -80.61139570514767",-80.611396,36.489931
OFFICE PRACTICE OF PHARMACY,92 MAIN AVENUE DRIVE,TAYLORSVILLE,NC,28681,2383,ALEXANDER,"35.922514981880894, -81.17429125643632",-81.174291,35.922515
RITE AID - 11343,2045 SOUTH HORNER BOULEVARD,SANFORD,NC,27330,5817,LEE,"35.46429124114784, -79.150012108472",-79.150012,35.464291
WALGREENS - 11894,1109 NC HIGHWAY 54 WEST,DURHAM,NC,27707,5548,DURHAM,"35.91894462929114, -78.95832292646182",-78.958323,35.918945
WALGREENS - 7548,2624 SUNSET AVENUE,ROCKY MOUNT,NC,27804,3747,NASH,"35.96249159331232, -77.82933545436768",-77.829335,35.962492
BI-LO - 211,500 NORTH MAIN STREET,MARION,NC,28752,5808,MCDOWELL,"35.68894742718196, -82.01333178803155",-82.013332,35.688947
CVS - 4467,4 CROSS ROAD DRIVE,MILLS RIVER,NC,28759,8734,HENDERSON,"35.38712183730291, -82.56881076890184",-82.568811,35.387122
PUNGO RIVER PHARMACY,892 UNITED STATES HIGHWAY 264 BYPASS,BELHAVEN,NC,27810,,BEAUFORT,"35.551945162639115, -76.6241628270528",-76.624163,35.551945
COSTCO,5351 GINGERWOOD DRIVE,WILMINGTON,NC,28405,3091,NEW HANOVER,"34.24890458347971, -77.8726932549897",-77.872693,34.248905
RITE AID - 11322,3601 REYNOLDA ROAD,WINSTON SALEM,NC,27106,2229,FORSYTH,"36.15671601992834, -80.31554156509115",-80.315542,36.156716
TARGET,1910 CATAWBA VALLEY BOULEVARD SOUTHEAST,HICKORY,NC,28602,4146,CATAWBA,"35.70009971842722, -81.30835111371287",-81.308351,35.7001
