Pharmacy,Populations,Disability,Insurance,Poverty,Work
HADNOT POINT BRANCH MEDICAL CLINIC PHARMACY-DOD,"[['37133000800', '37133002300', '37133002400', '37133000800']]",[0.1738644825018615],[0.9213700670141475],[0.16586224889120793],[0.7618684461391801]
WAL-MART SUPERCENTER - 1348,"[['37129011800', '37129012008', '37129012103', '37129012110', '37129012111', '37129012008']]",[0.13637470009388367],[0.9282659341423555],[0.07604986419667108],[0.8386111557627391]
ONEALS DRUG STORE OF NEWPORT,"[['37031970601', '37031970602', '37031970701', '37031970702', '37031970703', '37031970703']]",[0.21888059190244571],[0.8886757552921833],[0.09219713917700495],[0.7641425609635699]
WAL-MART SUPERCENTER - 3503,"[['37057061102', '37151030504', '37151031501', '37057061102']]",[0.17067187570980785],[0.8971062553945396],[0.19114505204782037],[0.7223522071439713]
SAM'S CLUB - 6348,"[['37119005826', '37119005867', '37119005826']]",[0.13813813813813813],[0.8328673501087294],[0.057042107446587845],[0.8584327636246372]
MARSHVILLE PHARMACY,"[['37179020901', '37179020800']]",[0.11765785609397944],[0.8796806167400881],[0.10308231819859727],[0.7394132100014453]
LIBERTY DRUG STORE,"[['37001021803', '37081017000', '37151031200']]",[0.15898094950105837],[0.8694436044753553],[0.13204837490551777],[0.7297231369679229]
HICKS PHARMACY,"[['37169070101', '37169070600', '37169070702', '37169070701']]",[0.1937293254710197],[0.8971666906371351],[0.1796686856892651],[0.7524233093853347]
CHEROKEE INDIAN HOSPITAL,"[['37099940200', '37173940100', '37173940100']]",[0.18964235007775],[0.6620918125887364],[0.24747645823453696],[0.5895452169367486]
SAM'S CLUB - 4798,"[['37067002901', '37067002806']]",[0.14052024671493699],[0.881871815500134],[0.21037811745776347],[0.6783509700176367]
PIEDMONT PLAZA OUTPATIENT PHARMACY,"[['37067001200', '37067001100']]",[0.0949616902716508],[0.9428836777339216],[0.15880027900488258],[0.7777421423989737]
HARRIS TEETER - 45,"[['37119005817', '37119005817']]",[0.08228857989514475],[0.9892865283793025],[0.06788571428571429],[0.8157099697885196]
SAM'S CLUB - 4945,"[['37155960701', '37155960702', '37155960900']]",[0.10610506389020351],[0.8548035967818268],[0.22366672992977796],[0.6728986168110656]
RITE AID - 11393,"[['37183050800', '37183052002', '37183052101', '37183052102', '37183052816', '37183052101']]",[0.13146126364703825],[0.8531990906138357],[0.1777621816723481],[0.7320313634383622]
WAL-MART SUPERCENTER - 4273,"[['37019020205', '37019020201']]",[0.10184507248499049],[0.9317616049201933],[0.10308750365817969],[0.7688116242864557]
CLEVELAND DRUG COMPANY,"[['37159051901', '37159051903', '37159051904', '37159051901']]",[0.12400392301091087],[0.8318009071962731],[0.11438592173270982],[0.7716289945440374]
WALGREENS - 6688,[['37097061403']],[0.11811577220529647],[0.9784391844387157],[0.07197513151602104],[0.8661475713756025]
CVS - 1218,"[['37067003106', '37067003105']]",[0.12747283365840067],[0.9062412928392309],[0.1105619881389438],[0.7477519022365691]
CVS - 7548,[['37183053105']],[0.12105263157894737],[0.8929824561403509],[0.058771929824561406],[0.8449523809523809]
WAL-MART SUPERCENTER - 2929,"[['37051001605', '37051003102', '37051003103', '37155960203', '37051001605']]",[0.15724493487698987],[0.8918686685962374],[0.1561570889727091],[0.7101529517613676]
SUPERTARGET,"[['37119005508', '37119006112', '37119006113', '37119006114', '37119006115', '37119006113']]",[0.048461818749674666],[0.922804643173182],[0.05955606502709462],[0.8781403604587658]
HARRIS TEETER - 66,"[['37119005840', '37119005859']]",[0.06806615776081425],[0.9804919423240034],[0.029686174724342665],[0.8060509554140127]
YADKIN VALLEY PHARMACY,"[['37197050502', '37197050504', '37197050504']]",[0.14968652037617555],[0.872257053291536],[0.1587508698677801],[0.7074550855849484]
FALLSTON PHARMACY,"[['37045950101', '37045950200', '37045950200']]",[0.13964697895451458],[0.8556687033265444],[0.17481612639607735],[0.6751792114695341]
WALGREENS - 12562,"[['37067002903', '37067002904', '37067003002', '37067003105']]",[0.1310567936736161],[0.8931703810208483],[0.15599855019934758],[0.7163585303065761]
CVS - 8417,[['37183053611']],[0.08196034627199106],[0.9582518849483385],[0.015917341524713767],[0.8397157520726412]
CVS - 3120,[['37023020901']],[0.2840150855816652],[0.8587177255584566],[0.08486102897693672],[0.7100445324096981]
CVS - 7547,"[['37123960202', '37123960301', '37123960302', '37123960202']]",[0.20881981697696433],[0.8774850110444935],[0.12951451727122512],[0.6961199081348967]
ISLAND PHARMACY,"[['37055970501', '37055970601', '37055970601']]",[0.1343833780160858],[0.8652144772117962],[0.09177640419242139],[0.8063657535765776]
MEDICAP PHARMACY,"[['37149920301', '37149920301']]",[0.22606120434353405],[0.7976307996051333],[0.10266535044422508],[0.7708333333333334]
CVS - 4490,"[['37071031301', '37071032100']]",[0.14646320593268683],[0.8877638334284085],[0.11417995444191344],[0.7822635518258109]
CVS - 7021,"[['37191001200', '37191001900']]",[0.14545208079164973],[0.9056527043513624],[0.28941742383752006],[0.7504382120946538]
RITE AID - 11406,[['37063002023']],[0.07596253902185224],[0.9441553936871314],[0.06520985084980922],[0.8410628019323672]
MEDICAL VILLAGE PHARMACY INCORPORATED,"[['37035010204', '37035010204']]",[0.12342671538773853],[0.8402354851806739],[0.1464060272856852],[0.7855600123418698]
WAL-MART SUPERCENTER - 2005,"[['37025040703', '37025040703']]",[0.29349067377236393],[0.8983631518842786],[0.21791862284820032],[0.6996197718631179]
CVS - 7049,"[['37081016600', '37151031504']]",[0.14401519949335023],[0.8982900569981],[0.061712846347607056],[0.8115604488672454]
RITE AID - 11344,[['37057061000']],[0.15229166666666666],[0.8191666666666667],[0.1362098138747885],[0.7142857142857143]
TOWNSEND'S PHARMACY,"[['37093970401', '37155960301']]",[0.23339160839160839],[0.8307109557109557],[0.33460354682690896],[0.5798435342843995]
BOULEVARD PHARMACY INCORPORATED,"[['37157040400', '37157040501', '37157040502', '37157040400']]",[0.18110524389606317],[0.913368536623621],[0.18890149673096665],[0.7195152114766262]
THE HAWTHORNE PHARMACY,[['37067002100']],[0.07256554307116105],[0.8974719101123596],[0.12734082397003746],[0.799396681749623]
CVS - 4988,"[['37127010900', '37127011103']]",[0.17001588933545192],[0.898401719786896],[0.18735406743252078],[0.7815300896286812]
WALGREENS - 4548,"[['37119001916', '37119001910']]",[0.07337589946285598],[0.7570690179385832],[0.14496439471007122],[0.7643529030165424]
WALGREENS - 12045,[['37001020701']],[0.1394222142472636],[0.953884801722591],[0.13529517315628925],[0.7881379310344827]
HARRIS TEETER - 174,"[['37119005710', '37119005716', '37119005722', '37119005723', '37119005716']]",[0.07877554882664647],[0.8937831188493566],[0.08328579577866514],[0.797967764540995]
KMART,[['37183052802']],[0.14215308794085937],[0.847528107192361],[0.05205606037270907],[0.8550901120311739]
GREER PHARMACY,"[['37027031100', '37027030100']]",[0.1602537863282849],[0.7969709373720835],[0.17745259686727122],[0.7104365620736699]
FRANKLIN STREET PHARMACY,[['37179020406']],[0.09857670005271481],[0.7011070110701108],[0.11411172888535875],[0.6159116863342216]
CVS - 5557,"[['37129011611', '37129011611']]",[0.07713600295257428],[0.8444362428492341],[0.047610260195608045],[0.872528616024974]
CVS - 3833,"[['37135010705', '37135010708', '37135012202', '37135010708']]",[0.08985871271585558],[0.9222605965463109],[0.1495133437990581],[0.8584062810215685]
FOSCOE PHARMACY,"[['37189920900', '37189920900']]",[0.15400134498991258],[0.9166106254203094],[0.12774540564769163],[0.8514506769825919]
FALLS RIVER PHARMACY,"[['37183054019', '37183054021', '37183054019']]",[0.04802843680251302],[0.951723567826734],[0.011407787054641646],[0.8398760330578512]
WALGREENS - 7169,"[['37183053604', '37183053425']]",[0.04130146082337317],[0.9774236387782205],[0.019509622989717902],[0.8186980328533766]
WALGREENS - 11893,"[['37061090506', '37061090506']]",[0.2558459422283356],[0.8702430077945896],[0.051811095827602016],[0.6587807097361238]
RITE AID - 11500,"[['37119005860', '37119005860']]",[0.0],[0.9137931034482759],[0.0],[0.8650793650793651]
CVS - 7157,"[['37119005836', '37119005854', '37119005854']]",[0.04596162427487729],[0.9465640339134315],[0.07206604194556002],[0.8963963963963963]
ADVANCED HOME CARE,"[['37081016204', '37081016406', '37081016406']]",[0.07849102525098875],[0.9328414968055978],[0.047651412173387704],[0.816782578953369]
CVS - 4095,"[['37051000900', '37051001000', '37051002100', '37051002402', '37051002100']]",[0.1716268600725272],[0.8630736526197323],[0.20444234961409297],[0.7823662658999826]
CVS - 3524,[['37097060500']],[0.16690160699182408],[0.8987877079221878],[0.09980265012686777],[0.790680473372781]
CVS - 4056,"[['37183050100', '37183050700', '37183050900', '37183050100']]",[0.09316947699342669],[0.9156901971991998],[0.10420628280216018],[0.785865983156353]
WAL-MART - 1579,"[['37077970300', '37077970500', '37077970400']]",[0.1428336620644313],[0.8895463510848126],[0.16808317517947025],[0.7581778859151121]
FOOD LION - 420,[['37063001711']],[0.1202990484821024],[0.7313094698685999],[0.14487150329770299],[0.86111942532176]
KROGER,"[['37183051800', '37183052603', '37183051800']]",[0.03918415088822282],[0.9796037722055706],[0.07692869666861485],[0.8281653746770026]
THOMAS DRUGS,[['37019020514']],[0.16631652661064425],[0.917016806722689],[0.0914526908195568],[0.7426733380986419]
RITE AID - 11510,[['37085070100']],[0.21389089161259311],[0.8949771689497716],[0.23447279730380358],[0.6817180616740088]
RITE AID - 11540,"[['37147001200', '37147001302', '37147001304', '37147001403', '37147001302']]",[0.15530604549834515],[0.8736017428463698],[0.08701001187849991],[0.7890749347424715]
WAL-MART SUPERCENTER - 1191,"[['37135010902', '37135011106', '37135010902']]",[0.09450449867305327],[0.8606382290115865],[0.12531555440481584],[0.7381974248927039]
RITE AID - 11551,[['37023020600']],[0.1459993072393488],[0.857637686179425],[0.35902320748181504],[0.7811280595956013]
CVS - 7688,[['37119003902']],[0.13167041504804744],[0.8159885503986914],[0.32243654822335027],[0.7602599179206566]
WALGREENS - 7317,"[['37063002020', '37063002021', '37063002023', '37063002023']]",[0.05045687318003816],[0.9631489105331861],[0.05019091639871383],[0.8888970211520164]
SEASHORE DISCOUNT DRUGS,"[['37129010900', '37129011000', '37129010900']]",[0.14383137011779293],[0.8716676999380037],[0.18806481770021813],[0.8192771084337349]
WAL-MART SUPERCENTER - 1298,[['37133001303']],[0.2193664076509265],[0.9856545128511656],[0.07214206437291898],[0.8240064882400648]
SANDHILLS PHARMACY,"[['37153970300', '37153970500', '37153970500']]",[0.17353334018288297],[0.9311620260967841],[0.25684124218509785],[0.7104010876954453]
RITE AID - 11413,[['37127010604']],[0.17611640742599097],[0.8943803311590567],[0.08081060795596698],[0.7399170750094233]
BI-LO - 700,"[['37179021019', '37119005849']]",[0.07318573185731857],[0.9927429274292743],[0.0068821432960550575],[0.8092508400869737]
PITT COUNTY MEMORIAL HOSPITAL PHARMACY,[['37147000701']],[0.15867158671586715],[0.9166666666666666],[0.43067937288656627],[0.7310282891782667]
RUTHERFORD EAST PHARMACY,"[['37161961002', '37161961104']]",[0.19656301145662847],[0.8122749590834697],[0.13114220631304913],[0.7269317329332333]
CVS - 7047,"[['37063001706', '37063001713', '37063001504']]",[0.08388188828286627],[0.9045514387812676],[0.13694627709707824],[0.8060463290145269]
RITE AID - 11402,"[['37063001802', '37063001808', '37063001810', '37063001811', '37063001811']]",[0.08734573266122023],[0.8600440349962338],[0.09201600278309272],[0.7977609708157074]
RITE AID - 11526,"[['37129010800', '37129010700']]",[0.21508089654148732],[0.8319726881401217],[0.356437148502812],[0.7151822350953415]
WALGREENS - 4870,[['37025041901']],[0.1631156129933636],[0.8623821166608453],[0.46769123297240656],[0.7914338919925512]
RITE AID - 11464,"[['37045950701', '37045950702', '37045951000', '37045951000']]",[0.16818271055559192],[0.9138799816765919],[0.18451236491414175],[0.7721313251706577]
WAL-MART SUPERCENTER - 515,"[['37039930402', '37039930402']]",[0.2471264367816092],[0.8051724137931034],[0.2454022988505747],[0.6868770764119602]
BI-LO - 413,"[['37119006008', '37119006013', '37119006014', '37119006014']]",[0.09650446372438073],[0.9331070036464227],[0.06544700113164843],[0.8327966101694916]
THOMPSON PHARMACY,"[['37127010400', '37127010400']]",[0.1658291457286432],[0.7797319932998324],[0.2950544844928751],[0.5948377004301917]
RITE AID - 11543,[['37035011101']],[0.1564525633470831],[0.8930465527401297],[0.09844255069056715],[0.7453959484346224]
RITE AID - 11377,[['37191001302']],[0.16189697465249386],[0.928045789043336],[0.11433046202036022],[0.7832888210606639]
RITE AID - 11914,[['37183053408']],[0.03736920777279522],[0.9738415545590433],[0.03761833582461385],[0.7724409448818897]
MISSION HOSPITAL - MEMORIAL CAMPUS,[['37021000900']],[0.20217620217620216],[0.9045279045279045],[0.3415233415233415],[0.7017276422764228]
WALGREENS - 7622,[['37191001302']],[0.16189697465249386],[0.928045789043336],[0.11433046202036022],[0.7832888210606639]
RITE AID - 11521,[['37129012006']],[0.15706934574859102],[0.9081107571673609],[0.07179612839990199],[0.7822480298631274]
WAL-MART SUPERCENTER - 1300,[['37049960402']],[0.12514220705346984],[0.911490329920364],[0.1796434213495825],[0.8217864923747277]
RITE AID - 11539,"[['37049960401', '37049960404', '37049960402']]",[0.16410436616006324],[0.9188263199508039],[0.11944614845324687],[0.7612429731417863]
RITE AID - 11314,"[['37067004007', '37067004009', '37197050101', '37067004009']]",[0.10639877702555144],[0.9593797772439397],[0.08103275328187012],[0.7839855236371862]
WAL-MART SUPERCENTER - 5346,[['37001021205']],[0.09899961023775497],[0.9443939197089776],[0.10510588540989996],[0.7723997783114723]
CVS - 7345,"[['37129012201', '37129012202', '37129012203', '37129012201']]",[0.10515130907854471],[0.8781026861611697],[0.08191561755699217],[0.7831903079252902]
WALGREENS - 9930,[['37089931200']],[0.1861777150916784],[0.8702397743300423],[0.17818523742360132],[0.8585365853658536]
RITE AID - 11524,"[['37129011608', '37129011609', '37129011609']]",[0.12141512567821947],[0.9171741778319124],[0.04301490889011596],[0.8632449190492594]
RITE AID - 11520,[['37129010501']],[0.06798245614035088],[0.7412280701754386],[0.2993421052631579],[0.853714661406969]
WALGREENS - 4549,"[['37119005718', '37119005710']]",[0.12923038355477565],[0.8988468287791427],[0.0861201910988182],[0.7937743190661478]
RITE AID - 11554,[['37193960600']],[0.21980495123780946],[0.9302325581395349],[0.20979284369114878],[0.7452380952380953]
HOLLADAY HEALTHCARE PHARMACY,"[['37067003806', '37067003804']]",[0.12573575453976205],[0.8453350031308704],[0.16217908578584847],[0.7496718544909057]
WALGREENS - 9988,"[['37013930501', '37013930502', '37013930600', '37013930400']]",[0.18273053111762788],[0.908634734441186],[0.19851165219661857],[0.7182237477206908]
RITE AID - 11455,"[['37179020406', '37179020406']]",[0.09857670005271481],[0.7011070110701108],[0.11411172888535875],[0.6159116863342216]
BLUE RIDGE HOME CARE,[['37121950300']],[0.17084942084942084],[0.8737934362934363],[0.18253968253968253],[0.7207672445592033]
WAL-MART SUPERCENTER - 2730,[['37065021000']],[0.1471861471861472],[0.9513819513819514],[0.2590742590742591],[0.6792782305005821]
HARRIS TEETER - 112,"[['37183053520', '37183053520']]",[0.10241674034777483],[0.8601532567049809],[0.1419098143236074],[0.8539349422875131]
WAL-MART SUPERCENTER - 1127,"[['37007920200', '37007920302', '37007920400', '37007920501', '37007980000', '37007920400']]",[0.14591326589931403],[0.874200674340193],[0.3522384597541174],[0.6769090355947672]
WALGREENS - 11837,"[['37019020308', '37019020311', '37019020312', '37019020404', '37019020405', '37019020406', '37019020407', '37019020407']]",[0.16646856056103648],[0.8902294068703197],[0.10366722050795157],[0.7291011942174733]
RITE AID - 11332,"[['37001020902', '37001021102', '37001021802', '37001021901', '37001020901']]",[0.15171827322295034],[0.9307688459806913],[0.10427454563915119],[0.7880563915729447]
RITE AID - 11327,"[['37151030201', '37151030201']]",[0.20253968253968255],[0.8476190476190476],[0.2092063492063492],[0.7787703625853915]
RITE AID - 11515,"[['37125950601', '37125950603', '37125950704']]",[0.1560711057547454],[0.9642462589133273],[0.08319596625618152],[0.7237648755860079]
WILSON COMMUNITY HEALTH CENTER,[['37195000100']],[0.17457142857142857],[0.822],[0.27113133940182055],[0.6267095736122285]
FORT BRAGG - WOMACK ARMY MEDICAL CENTER - JOEL CLINIC-DOD,"[['37051003408', '37051980200', '37051003408']]",[0.05806887238352464],[0.9645509790681972],[0.0638699033702569],[0.8691121300541892]
COSTCO,"[['37081012607', '37081012607']]",[0.12709284627092846],[0.9090563165905632],[0.2713089802130898],[0.7764849969381507]
HARRIS TEETER - 127,"[['37067002601', '37067002601']]",[0.09666080843585237],[0.973286467486819],[0.010193321616871705],[0.7704918032786885]
BIDDLEVILLE PHARMACY,"[['37119004400', '37119005100', '37119004600']]",[0.10876623376623376],[0.7436224489795918],[0.177379983726607],[0.6904019688269073]
WOMACK ARMY MEDICAL CENTER - ROBINSON CLINIC-DOD,"[['37051003403', '37051980100', '37085071402', '37125950505', '37051003403']]",[0.11315248391589838],[0.9377197055117066],[0.19087301587301586],[0.7501606167683906]
WINYAH PHARMACY OF THE PIEDMONT,"[['37119005916', '37119980200', '37119005916']]",[0.14750882699097687],[0.8579835229501765],[0.21773244409572381],[0.8257389162561576]
DEEP RIVER DRUG,"[['37081016305', '37081016306', '37081016305']]",[0.08606493708249184],[0.9335870747242504],[0.06952851226505256],[0.795526750540094]
CVS - 5500,"[['37081016103', '37081016102']]",[0.11621358171775155],[0.8762049171450232],[0.19451965774937724],[0.8038971161340608]
RITE AID - 11506,"[['37051003304', '37051003315', '37051003317', '37051003317']]",[0.16449988287655187],[0.9037830873740923],[0.1628568418834931],[0.7287871327753159]
HEALTH PAVILION NORTH PHARMACY,"[['37051002504', '37051002506', '37051003700', '37085071201', '37051002506']]",[0.14735361350448392],[0.9183664497977844],[0.1420524627908889],[0.7562603279522054]
BREVARD DRUG COMPANY,[['37175960301']],[0.1408955223880597],[0.8907462686567165],[0.05894736842105263],[0.8422756706753006]
CREEDMOOR DRUG COMPANY,"[['37077970604', '37077970607', '37077970606']]",[0.12997081357168916],[0.9202845676760306],[0.12392300641613199],[0.7782538832351366]
RITE AID - 11419,[['37147000504']],[0.10455588331694526],[0.9233038348082596],[0.38010043942247335],[0.864590622813156]
CVS - 4135,[['37081012607']],[0.12709284627092846],[0.9090563165905632],[0.2713089802130898],[0.7764849969381507]
HOSPITAL PHARMACY INCORPORATED,"[['37085070100', '37085070300', '37163970303', '37163970304', '37085070100']]",[0.17562724014336917],[0.8860425890786422],[0.2397840355706119],[0.6635426429240863]
OFFICE PRACTICE OF PHARMACY,[['37003040400']],[0.15318667098026528],[0.904723390488515],[0.1804089709762533],[0.7748344370860927]
RITE AID - 11343,"[['37105030401', '37105030300']]",[0.16045594037702762],[0.7390033610989332],[0.2672602539775215],[0.7131474103585658]
WALGREENS - 11894,[['37063002023']],[0.07596253902185224],[0.9441553936871314],[0.06520985084980922],[0.8410628019323672]
WALGREENS - 7548,"[['37127010506', '37127010506']]",[0.09861197431116636],[0.929562875492024],[0.0534604227103191],[0.7243670886075949]
BI-LO - 211,"[['37111970300', '37111970400']]",[0.16784828075150657],[0.8239985820630982],[0.245199146514936],[0.6397260273972603]
CVS - 4467,"[['37089930701', '37089930702', '37089980100', '37089930701']]",[0.12303206997084548],[0.9147855060391503],[0.0453257790368272],[0.8280984719864176]
PUNGO RIVER PHARMACY,"[['37013930101', '37013930102']]",[0.17872506843957764],[0.8971450919045757],[0.12871085807238714],[0.7724264705882353]
RITE AID - 11322,"[['37067002701', '37067002804', '37067002701']]",[0.09997839472831371],[0.8601058658312628],[0.11258601072763721],[0.7382235762831029]
DILWORTH DRUG,"[['37119003500', '37119003500']]",[0.04309687261632342],[0.9763539282990084],[0.032909498878085267],[0.948368241597662]
RITE AID - 11379,"[['37183053204', '37183053204']]",[0.07057777777777778],[0.9614222222222222],[0.07461633445052038],[0.8276637615968513]
RITE AID - 11428,[['37055970302']],[0.1502313990744037],[0.8864364542541829],[0.10786756852972589],[0.8637264618434093]
WALGREENS - 6547,[['37051001200']],[0.1671542812560952],[0.8677589233469866],[0.34758111521274526],[0.7370972341032221]
HARRIS TEETER - 220,[['37119005527']],[0.07147766323024055],[0.9237113402061856],[0.04776632302405498],[0.9306549257017062]
FISHER RX DIRECT PHARMACY,[['37045951000']],[0.16214720531267293],[0.9061981184283343],[0.14822190611664296],[0.7353079454630935]
FOOD LION - 1358,"[['37183054016', '37183054019']]",[0.0536718200983837],[0.9388615600843289],[0.01531959852086635],[0.8800574262594623]
HILLCREST CONVALESCENT CENTER,"[['37063000402', '37063000500', '37063001503', '37063001503']]",[0.06356245380635625],[0.9128787878787878],[0.3046021240572572],[0.5087773969045393]
WAKE FOREST UNIVERSITY BAPTIST MEDICAL CENTER PHARMACY,"[['37067001000', '37067001100', '37067001100']]",[0.09507494646680942],[0.8702355460385439],[0.1992505353319058],[0.807703240477544]
JOHNSON DRUG AND HOME MEDICAL,[['37133001301']],[0.22131147540983606],[0.9079851930195664],[0.13242518981688253],[0.8532391771568928]
BORDEAUX DRUG COMPANY,"[['37051001701', '37051001701']]",[0.23985374771480805],[0.9020109689213894],[0.24928571428571428],[0.7625493513818387]
BROOKCARE PHARMACY SERVICES,"[['37067004013', '37067004014']]",[0.11854103343465046],[0.9079856313898867],[0.0886373049841226],[0.8336603444517113]
HARRIS TEETER - 341,[['37081013602']],[0.1298434693353862],[0.8211444701052092],[0.22527187985499741],[0.8218623481781376]
WAL-MART SUPERCENTER - 4458,"[['37183053206', '37183053204']]",[0.09535182803600956],[0.9443321697593239],[0.061880279103929486],[0.8374007220216606]
RITE AID - 11394,"[['37183052505', '37183052506', '37183053714', '37183053715', '37183052506']]",[0.09768652073081056],[0.9069517506646304],[0.0616662898485191],[0.8457816486320049]
CANNON PHARMACY,[['37023020802']],[0.1412867765923052],[0.8231490462334303],[0.12268141880898145],[0.7428153921091086]
WALGREENS - 9527,"[['37081013602', '37081013602']]",[0.1298434693353862],[0.8211444701052092],[0.22527187985499741],[0.8218623481781376]
BRYSON CITY HEALTH MART PHARMACY,"[['37173960200', '37173960301', '37173960302', '37173980200', '37173960200']]",[0.20235554501620426],[0.8571654414670777],[0.17983392645314353],[0.7445344129554656]
HUDSON DISCOUNT DRUG,"[['37027030400', '37027030700', '37027030600']]",[0.21961129545608452],[0.8642242838762104],[0.1357475355969332],[0.7133034379671152]
SEA LEVEL PHARMACY,"[['37031970101', '37031970102', '37031980100', '37031990200', '37137990100', '37031970101']]",[0.15850073493385594],[0.9130328270455659],[0.060918693195774996],[0.7128797603765511]
WAL-MART SUPERCENTER - 2058,[['37183052701']],[0.08299566857621908],[0.6551627777001537],[0.1329240434037693],[0.8109287346769167]
PENDER MEMORIAL HOSPITAL,"[['37141920403', '37141920403']]",[0.23773987206823027],[0.8738450604122245],[0.10320284697508897],[0.629837067209776]
WAYNESVILLE PHARMACY INCORPORATED,"[['37087921201', '37087921201']]",[0.2423417290673928],[0.7937372362151123],[0.041524846834581346],[0.761849710982659]
RITE AID - 11503,"[['37051000600', '37051000702', '37051000702']]",[0.13187520102926986],[0.9224831135413316],[0.1692050907573545],[0.7770814682184423]
FORT BRAGG - WOMACK ARMY MEDICAL CENTER - CLARK HEALTH CLINIC-DOD,"[['37051003404', '37051003410', '37051003410']]",[0.004262574595055414],[0.9965899403239556],[0.07382169222032936],[0.9444]
ROCK DRUG STORE INCORPORATED,"[['37023020902', '37023020902']]",[0.1691198558125563],[0.9630519675578252],[0.10854147394387913],[0.784957092377587]
COCHRANE-RIDENHOUR DRUG COMPANY,"[['37123960401', '37123960402', '37123960401']]",[0.21982966414912422],[0.8736943596336172],[0.10766511328941025],[0.713284963722792]
HUNTER DRUG COMPANY INCORPORATED,"[['37185950300', '37185950400', '37185950300']]",[0.16834810965046368],[0.8676245796392541],[0.21847283107350393],[0.7076052587784989]
RITE AID - 11382,[['37145920400']],[0.24196221411998675],[0.8578057673185283],[0.25867195242814667],[0.7656599552572707]
CVS - 4253,"[['37067004012', '37067004011']]",[0.08810949529512403],[0.9129170230966638],[0.07480550568521843],[0.7903581267217631]
ID CONSULTANTS PHARMACY,"[['37119002910', '37119003102', '37119003111']]",[0.07942954287873064],[0.9127313940309785],[0.12126420318915306],[0.9043055920189026]
PROFESSIONAL PHARMACY,"[['37077970101', '37077970102', '37077970200', '37077970400']]",[0.17364495860003523],[0.8736860649480298],[0.2155857925428521],[0.6761400575833566]
