Pharmacy,Populations,Percent
WAL-MART SUPERCENTER - 4273,"[['37019020205', '37019020201']]",[0.9317616049201933]
CLEVELAND DRUG COMPANY,"[['37159051901', '37159051903', '37159051904', '37159051901']]",[0.8318009071962731]
WALGREENS - 6688,[['37097061403']],[0.9784391844387157]
CVS - 1218,"[['37067003106', '37067003105']]",[0.9062412928392309]
CVS - 7548,[['37183053105']],[0.8929824561403509]
WAL-MART SUPERCENTER - 2929,"[['37051001605', '37051003102', '37051003103', '37155960203', '37051001605']]",[0.8918686685962374]
SUPERTARGET,"[['37119005508', '37119006112', '37119006113', '37119006114', '37119006115', '37119006113']]",[0.922804643173182]
HARRIS TEETER - 66,"[['37119005840', '37119005859']]",[0.9804919423240034]
YADKIN VALLEY PHARMACY,"[['37197050502', '37197050504', '37197050504']]",[0.872257053291536]
FALLSTON PHARMACY,"[['37045950101', '37045950200', '37045950200']]",[0.8556687033265444]
WALGREENS - 12562,"[['37067002903', '37067002904', '37067003002', '37067003105']]",[0.8931703810208483]
CVS - 8417,[['37183053611']],[0.9582518849483385]
CVS - 3120,[['37023020901']],[0.8587177255584566]
CVS - 7547,"[['37123960202', '37123960301', '37123960302', '37123960202']]",[0.8774850110444935]
ISLAND PHARMACY,"[['37055970501', '37055970601', '37055970601']]",[0.8652144772117962]
MEDICAP PHARMACY,"[['37149920301', '37149920301']]",[0.7976307996051333]
CVS - 4490,"[['37071031301', '37071032100']]",[0.8877638334284085]
CVS - 7021,"[['37191001200', '37191001900']]",[0.9056527043513624]
RITE AID - 11406,[['37063002023']],[0.9441553936871314]
MEDICAL VILLAGE PHARMACY INCORPORATED,"[['37035010204', '37035010204']]",[0.8402354851806739]
WAL-MART SUPERCENTER - 2005,"[['37025040703', '37025040703']]",[0.8983631518842786]
CVS - 7049,"[['37081016600', '37151031504']]",[0.8982900569981]
RITE AID - 11344,[['37057061000']],[0.8191666666666667]
TOWNSEND'S PHARMACY,"[['37093970401', '37155960301']]",[0.8307109557109557]
BOULEVARD PHARMACY INCORPORATED,"[['37157040400', '37157040501', '37157040502', '37157040400']]",[0.913368536623621]
THE HAWTHORNE PHARMACY,[['37067002100']],[0.8974719101123596]
CVS - 4988,"[['37127010900', '37127011103']]",[0.898401719786896]
WALGREENS - 4548,"[['37119001916', '37119001910']]",[0.7570690179385832]
WALGREENS - 12045,[['37001020701']],[0.953884801722591]
HARRIS TEETER - 174,"[['37119005710', '37119005716', '37119005722', '37119005723', '37119005716']]",[0.8937831188493566]
KMART,[['37183052802']],[0.847528107192361]
GREER PHARMACY,"[['37027031100', '37027030100']]",[0.7969709373720835]
FRANKLIN STREET PHARMACY,[['37179020406']],[0.7011070110701108]
CVS - 5557,"[['37129011611', '37129011611']]",[0.8444362428492341]
CVS - 3833,"[['37135010705', '37135010708', '37135012202', '37135010708']]",[0.9222605965463109]
FOSCOE PHARMACY,"[['37189920900', '37189920900']]",[0.9166106254203094]
FALLS RIVER PHARMACY,"[['37183054019', '37183054021', '37183054019']]",[0.951723567826734]
WALGREENS - 7169,"[['37183053604', '37183053425']]",[0.9774236387782205]
WALGREENS - 11893,"[['37061090506', '37061090506']]",[0.8702430077945896]
RITE AID - 11500,"[['37119005860', '37119005860']]",[0.9137931034482759]
CVS - 7157,"[['37119005836', '37119005854', '37119005854']]",[0.9465640339134315]
ADVANCED HOME CARE,"[['37081016204', '37081016406', '37081016406']]",[0.9328414968055978]
CVS - 4095,"[['37051000900', '37051001000', '37051002100', '37051002402', '37051002100']]",[0.8630736526197323]
CVS - 3524,[['37097060500']],[0.8987877079221878]
CVS - 4056,"[['37183050100', '37183050700', '37183050900', '37183050100']]",[0.9156901971991998]
WAL-MART - 1579,"[['37077970300', '37077970500', '37077970400']]",[0.8895463510848126]
FOOD LION - 420,[['37063001711']],[0.7313094698685999]
KROGER,"[['37183051800', '37183052603', '37183051800']]",[0.9796037722055706]
THOMAS DRUGS,[['37019020514']],[0.917016806722689]
RITE AID - 11510,[['37085070100']],[0.8949771689497716]
RITE AID - 11540,"[['37147001200', '37147001302', '37147001304', '37147001403', '37147001302']]",[0.8736017428463698]
WAL-MART SUPERCENTER - 1191,"[['37135010902', '37135011106', '37135010902']]",[0.8606382290115865]
RITE AID - 11551,[['37023020600']],[0.857637686179425]
CVS - 7688,[['37119003902']],[0.8159885503986914]
WALGREENS - 7317,"[['37063002020', '37063002021', '37063002023', '37063002023']]",[0.9631489105331861]
SEASHORE DISCOUNT DRUGS,"[['37129010900', '37129011000', '37129010900']]",[0.8716676999380037]
WAL-MART SUPERCENTER - 1298,[['37133001303']],[0.9856545128511656]
SANDHILLS PHARMACY,"[['37153970300', '37153970500', '37153970500']]",[0.9311620260967841]
RITE AID - 11413,[['37127010604']],[0.8943803311590567]
BI-LO - 700,"[['37179021019', '37119005849']]",[0.9927429274292743]
PITT COUNTY MEMORIAL HOSPITAL PHARMACY,[['37147000701']],[0.9166666666666666]
RUTHERFORD EAST PHARMACY,"[['37161961002', '37161961104']]",[0.8122749590834697]
CVS - 7047,"[['37063001706', '37063001713', '37063001504']]",[0.9045514387812676]
RITE AID - 11402,"[['37063001802', '37063001808', '37063001810', '37063001811', '37063001811']]",[0.8600440349962338]
RITE AID - 11526,"[['37129010800', '37129010700']]",[0.8319726881401217]
WALGREENS - 4870,[['37025041901']],[0.8623821166608453]
RITE AID - 11464,"[['37045950701', '37045950702', '37045951000', '37045951000']]",[0.9138799816765919]
WAL-MART SUPERCENTER - 515,"[['37039930402', '37039930402']]",[0.8051724137931034]
BI-LO - 413,"[['37119006008', '37119006013', '37119006014', '37119006014']]",[0.9331070036464227]
THOMPSON PHARMACY,"[['37127010400', '37127010400']]",[0.7797319932998324]
RITE AID - 11543,[['37035011101']],[0.8930465527401297]
RITE AID - 11377,[['37191001302']],[0.928045789043336]
RITE AID - 11914,[['37183053408']],[0.9738415545590433]
MISSION HOSPITAL - MEMORIAL CAMPUS,[['37021000900']],[0.9045279045279045]
WALGREENS - 7622,[['37191001302']],[0.928045789043336]
RITE AID - 11521,[['37129012006']],[0.9081107571673609]
WAL-MART SUPERCENTER - 1300,[['37049960402']],[0.911490329920364]
RITE AID - 11539,"[['37049960401', '37049960404', '37049960402']]",[0.9188263199508039]
RITE AID - 11314,"[['37067004007', '37067004009', '37197050101', '37067004009']]",[0.9593797772439397]
WAL-MART SUPERCENTER - 5346,[['37001021205']],[0.9443939197089776]
CVS - 7345,"[['37129012201', '37129012202', '37129012203', '37129012201']]",[0.8781026861611697]
WALGREENS - 9930,[['37089931200']],[0.8702397743300423]
RITE AID - 11524,"[['37129011608', '37129011609', '37129011609']]",[0.9171741778319124]
RITE AID - 11520,[['37129010501']],[0.7412280701754386]
WALGREENS - 4549,"[['37119005718', '37119005710']]",[0.8988468287791427]
RITE AID - 11554,[['37193960600']],[0.9302325581395349]
HOLLADAY HEALTHCARE PHARMACY,"[['37067003806', '37067003804']]",[0.8453350031308704]
WALGREENS - 9988,"[['37013930501', '37013930502', '37013930600', '37013930400']]",[0.908634734441186]
RITE AID - 11455,"[['37179020406', '37179020406']]",[0.7011070110701108]
BLUE RIDGE HOME CARE,[['37121950300']],[0.8737934362934363]
WAL-MART SUPERCENTER - 2730,[['37065021000']],[0.9513819513819514]
HARRIS TEETER - 112,"[['37183053520', '37183053520']]",[0.8601532567049809]
WAL-MART SUPERCENTER - 1127,"[['37007920200', '37007920302', '37007920400', '37007920501', '37007980000', '37007920400']]",[0.874200674340193]
WALGREENS - 11837,"[['37019020308', '37019020311', '37019020312', '37019020404', '37019020405', '37019020406', '37019020407', '37019020407']]",[0.8902294068703197]
RITE AID - 11332,"[['37001020902', '37001021102', '37001021802', '37001021901', '37001020901']]",[0.9307688459806913]
RITE AID - 11327,"[['37151030201', '37151030201']]",[0.8476190476190476]
RITE AID - 11515,"[['37125950601', '37125950603', '37125950704']]",[0.9642462589133273]
WILSON COMMUNITY HEALTH CENTER,[['37195000100']],[0.822]
FORT BRAGG - WOMACK ARMY MEDICAL CENTER - JOEL CLINIC-DOD,"[['37051003408', '37051980200', '37051003408']]",[0.9645509790681972]
COSTCO,"[['37081012607', '37081012607']]",[0.9090563165905632]
HARRIS TEETER - 127,"[['37067002601', '37067002601']]",[0.973286467486819]
BIDDLEVILLE PHARMACY,"[['37119004400', '37119005100', '37119004600']]",[0.7436224489795918]
WOMACK ARMY MEDICAL CENTER - ROBINSON CLINIC-DOD,"[['37051003403', '37051980100', '37085071402', '37125950505', '37051003403']]",[0.9377197055117066]
WINYAH PHARMACY OF THE PIEDMONT,"[['37119005916', '37119980200', '37119005916']]",[0.8579835229501765]
DEEP RIVER DRUG,"[['37081016305', '37081016306', '37081016305']]",[0.9335870747242504]
CVS - 5500,"[['37081016103', '37081016102']]",[0.8762049171450232]
RITE AID - 11506,"[['37051003304', '37051003315', '37051003317', '37051003317']]",[0.9037830873740923]
HEALTH PAVILION NORTH PHARMACY,"[['37051002504', '37051002506', '37051003700', '37085071201', '37051002506']]",[0.9183664497977844]
BREVARD DRUG COMPANY,[['37175960301']],[0.8907462686567165]
CREEDMOOR DRUG COMPANY,"[['37077970604', '37077970607', '37077970606']]",[0.9202845676760306]
RITE AID - 11419,[['37147000504']],[0.9233038348082596]
CVS - 4135,[['37081012607']],[0.9090563165905632]
HOSPITAL PHARMACY INCORPORATED,"[['37085070100', '37085070300', '37163970303', '37163970304', '37085070100']]",[0.8860425890786422]
OFFICE PRACTICE OF PHARMACY,[['37003040400']],[0.904723390488515]
RITE AID - 11343,"[['37105030401', '37105030300']]",[0.7390033610989332]
WALGREENS - 11894,[['37063002023']],[0.9441553936871314]
WALGREENS - 7548,"[['37127010506', '37127010506']]",[0.929562875492024]
BI-LO - 211,"[['37111970300', '37111970400']]",[0.8239985820630982]
CVS - 4467,"[['37089930701', '37089930702', '37089980100', '37089930701']]",[0.9147855060391503]
PUNGO RIVER PHARMACY,"[['37013930101', '37013930102']]",[0.8971450919045757]
RITE AID - 11322,"[['37067002701', '37067002804', '37067002701']]",[0.8601058658312628]
DILWORTH DRUG,"[['37119003500', '37119003500']]",[0.9763539282990084]
RITE AID - 11379,"[['37183053204', '37183053204']]",[0.9614222222222222]
RITE AID - 11428,[['37055970302']],[0.8864364542541829]
WALGREENS - 6547,[['37051001200']],[0.8677589233469866]
HARRIS TEETER - 220,[['37119005527']],[0.9237113402061856]
FISHER RX DIRECT PHARMACY,[['37045951000']],[0.9061981184283343]
FOOD LION - 1358,"[['37183054016', '37183054019']]",[0.9388615600843289]
HILLCREST CONVALESCENT CENTER,"[['37063000402', '37063000500', '37063001503', '37063001503']]",[0.9128787878787878]
WAKE FOREST UNIVERSITY BAPTIST MEDICAL CENTER PHARMACY,"[['37067001000', '37067001100', '37067001100']]",[0.8702355460385439]
JOHNSON DRUG AND HOME MEDICAL,[['37133001301']],[0.9079851930195664]
BORDEAUX DRUG COMPANY,"[['37051001701', '37051001701']]",[0.9020109689213894]
BROOKCARE PHARMACY SERVICES,"[['37067004013', '37067004014']]",[0.9079856313898867]
HARRIS TEETER - 341,[['37081013602']],[0.8211444701052092]
WAL-MART SUPERCENTER - 4458,"[['37183053206', '37183053204']]",[0.9443321697593239]
RITE AID - 11394,"[['37183052505', '37183052506', '37183053714', '37183053715', '37183052506']]",[0.9069517506646304]
CANNON PHARMACY,[['37023020802']],[0.8231490462334303]
WALGREENS - 9527,"[['37081013602', '37081013602']]",[0.8211444701052092]
BRYSON CITY HEALTH MART PHARMACY,"[['37173960200', '37173960301', '37173960302', '37173980200', '37173960200']]",[0.8571654414670777]
HUDSON DISCOUNT DRUG,"[['37027030400', '37027030700', '37027030600']]",[0.8642242838762104]
SEA LEVEL PHARMACY,"[['37031970101', '37031970102', '37031980100', '37031990200', '37137990100', '37031970101']]",[0.9130328270455659]
WAL-MART SUPERCENTER - 2058,[['37183052701']],[0.6551627777001537]
PENDER MEMORIAL HOSPITAL,"[['37141920403', '37141920403']]",[0.8738450604122245]
WAYNESVILLE PHARMACY INCORPORATED,"[['37087921201', '37087921201']]",[0.7937372362151123]
RITE AID - 11503,"[['37051000600', '37051000702', '37051000702']]",[0.9224831135413316]
FORT BRAGG - WOMACK ARMY MEDICAL CENTER - CLARK HEALTH CLINIC-DOD,"[['37051003404', '37051003410', '37051003410']]",[0.9965899403239556]
ROCK DRUG STORE INCORPORATED,"[['37023020902', '37023020902']]",[0.9630519675578252]
COCHRANE-RIDENHOUR DRUG COMPANY,"[['37123960401', '37123960402', '37123960401']]",[0.8736943596336172]
HUNTER DRUG COMPANY INCORPORATED,"[['37185950300', '37185950400', '37185950300']]",[0.8676245796392541]
RITE AID - 11382,[['37145920400']],[0.8578057673185283]
CVS - 4253,"[['37067004012', '37067004011']]",[0.9129170230966638]
ID CONSULTANTS PHARMACY,"[['37119002910', '37119003102', '37119003111']]",[0.9127313940309785]
PROFESSIONAL PHARMACY,"[['37077970101', '37077970102', '37077970200', '37077970400']]",[0.8736860649480298]
CVS - 5341,"[['37179021013', '37179021014', '37179021015', '37179021013']]",[0.9365838806489496]
WAL-MART SUPERCENTER - 5320,[['37081012612']],[0.8753234152652005]
GLOBAL RX,"[['37135011103', '37135011107', '37135011211', '37135011107']]",[0.903963314772355]
TAS DRUG,"[['37045950301', '37071030602', '37109070500', '37071030700']]",[0.89920543380751]
RITE AID - 11345,"[['37057060601', '37057060700', '37081014408']]",[0.8129129129129129]
LINCOLN COMMUNITY HEALTH CENTER,"[['37063000700', '37063001001', '37063001301', '37063001400', '37063002300', '37063001301']]",[0.7956352993573838]
EAST CAROLINA UNIVERSTIY BRODY SCHOOL OF MEDICINE - BRODY OUTPATIENT PHARMACY,[['37147000701']],[0.9166666666666666]
NORTHWOODS DRUG COMPANY INCORPORATED,"[['37133001400', '37133001500', '37133001700', '37133001700']]",[0.8856375323803127]
HARRIS TEETER - 274,"[['37097061203', '37097061204', '37097061402']]",[0.9393028846153846]
CVS - 5583,"[['37119000700', '37119000900', '37119001400', '37119001400']]",[0.8714648125528517]
INGLES MARKETS - 147,"[['37045950302', '37045950601', '37045950604', '37045950601']]",[0.8722312112927524]
WAL-MART SUPERCENTER - 1385,[['37071031303']],[0.8089598352214212]
WALGREENS - 6690,[['37067002701']],[0.8519134775374376]
WAL-MART SUPERCENTER - 2472,"[['37067003805', '37067003805']]",[0.8837995696280356]
WAL-MART SUPERCENTER - 1132,"[['37151030804', '37151030806', '37151030201']]",[0.8920023350846468]
WALGREENS - 11692,[['37179020602']],[0.7783228217706143]
WALGREENS - 9931,[['37129011612']],[0.9079733652040294]
RITE AID - 11417,"[['37147000201', '37147000303']]",[0.8808936225483829]
BEACH PHARMACY,"[['37055970502', '37055990200', '37095990100', '37095990200', '37055970502']]",[0.8341998844598498]
VILLAGE PHARMACY,"[['37117970400', '37117970600', '37117970600']]",[0.8570632177500279]
RITE AID - 11448,"[['37025041001', '37025041002', '37025041201', '37159051502', '37159051801', '37025041002']]",[0.8830051527419949]
CVS - 5591,"[['37097061001', '37097060100']]",[0.9226241336751163]
RITE AID - 11459,"[['37071031004', '37071031102', '37071031204', '37071031102']]",[0.8555045871559633]
BRAME HUIE PHARMACY,[['37193960700']],[0.8350200047069899]
RITE AID - 11439,"[['37071030302', '37071030902', '37071030902']]",[0.8949771689497716]
SENIOR CARE PHARMACY,"[['37119005713', '37119005721', '37119005720']]",[0.9515799708313077]
CAROLINAS MEDICAL CENTER - BIDDLE POINT PHARMACY,"[['37119004102', '37119004500', '37119004700', '37119004700']]",[0.8834257679180887]
SALISBURY PHARMACY / MEDEXPRESS PHARMACY,"[['37159050400', '37159050400']]",[0.8774624373956594]
COOR'S PHARMACY AND MEDICAL SUPPLY,[['37191001900']],[0.9153126538650911]
CVS - 7013,"[['37021002803', '37021002702']]",[0.8712166766887152]
HARRIS TEETER - 272,"[['37119006210', '37119006220', '37119006221', '37119006209']]",[0.9434667974737875]
CVS - 7597,"[['37085070600', '37085070700', '37085070801', '37085070802', '37085070700']]",[0.9091937231987183]
CVS - 5568,"[['37041930102', '37041930201', '37041930202', '37041930101']]",[0.9244477172312224]
CVS - 5463,"[['37119005615', '37119005618', '37119005615']]",[0.8910853689247041]
RITE AID - 11336,[['37081016506']],[0.9542267238021036]
HAYESVILLE PHARMACY,"[['37043950201', '37043950201']]",[0.7882001988730527]
CVS - 7056,"[['37119004600', '37119004800', '37119005000', '37119004600']]",[0.8411170415554708]
GOLDSBORO DRUG COMPANY,"[['37191001500', '37191001800', '37191002000', '37191001800']]",[0.8722255548890222]
MEDICAL CENTER PHARMACY,"[['37035010900', '37035010900']]",[0.847051597051597]
WALGREENS - 11713,"[['37101041112', '37101041113', '37183052902', '37101041112']]",[0.8973594548551959]
FAMILY MEDICAL SUPPLY,[['37085070500']],[0.8672855423757951]
SHELBY DRUGSTORE,"[['37045950800', '37045950900']]",[0.914029764484901]
STANELY APOTHECARY,"[['37119001801', '37119001801']]",[0.8533434650455927]
LEXINGTON DRUG COMPANY,[['37057061400']],[0.7200396170353252]
WALGREENS - 7699,[['37025042402']],[0.8578493937460114]
INGLES MARKETS - 3,"[['37021001602', '37021001700', '37021001601']]",[0.9293468089088527]
RITE AID - 11368,[['37183053425']],[0.9919015225137674]
SAMS PHARMACY,"[['37061090801', '37061090803', '37061090804', '37061090804']]",[0.8153255195508716]
CVS - 7043,"[['37061090102', '37061090401', '37061090402', '37061090401']]",[0.8141670737664876]
WALGREENS - 10891,[['37045951000']],[0.9061981184283343]
CVS - 3440,"[['37179021016', '37179021016']]",[0.982765780730897]
WALGREENS - 5761,"[['37119003201', '37119003203', '37119003110']]",[0.9097074468085107]
RITE AID - 11349,"[['37081012619', '37081012619']]",[0.9243511871893981]
FARM FRESH - 6273,[['37139960300']],[0.9334545454545454]
WALGREENS - 9090,[['37001021000']],[0.7892948173322005]
CVS - 7529,"[['37183054108', '37183054112', '37183054112']]",[0.8726717747461533]
FAYETTEVILLE TREATMENT CENTER,"[['37051000200', '37051001401', '37051001402', '37051003800']]",[0.8631848766421019]
CABARRUS HEALTH ALLIANCE,"[['37025042101', '37025042202', '37025042101']]",[0.7937848189415042]
COOPERS PHARMACY INCORPORATED,"[['37125950503', '37125950504', '37125950507', '37125950507']]",[0.8475380800566773]
CVS - 7349,"[['37025042402', '37025042402']]",[0.8578493937460114]
CAROLINA DRUG,"[['37151031303', '37151031504', '37151031505', '37151031504']]",[0.9188453438800144]
RITE AID - 11471,"[['37119002701', '37119002800', '37119002701']]",[0.9809222607631096]
AVERY PHARMACY,"[['37011930200', '37011930200']]",[0.8178758414360509]
CORAM SPECIALTY INFUSION SERVICES,"[['37183053612', '37183053609']]",[0.9610599078341013]
CVS - 7550,"[['37133000401', '37133000405']]",[0.8895118486955221]
CVS - 4197,"[['37089930502', '37089930600', '37089930600']]",[0.9205960015088646]
RITE AID - 11367,"[['37135011500', '37135012103']]",[0.9684187756867835]
RITE AID - 11388,"[['37183050300', '37183051102', '37183051200', '37183051200']]",[0.9538610388825058]
CVS - 5508,[['37017950401']],[0.8543630282760718]
WALGREENS - 11892,"[['37097061401', '37097061405', '37097061406', '37097061405']]",[0.9653994490358127]
WAL-MART - 1498,[['37081015705']],[0.8906995230524642]
KM HEALTH MART PHARMACY,"[['37045950400', '37045950400']]",[0.8911795407098121]
RITE AID - 11476,"[['37119002202', '37119002202']]",[0.9670364500792393]
WALGREENS - 11629,"[['37035010301', '37035010302', '37035010303', '37035010304', '37035010304']]",[0.876594700686948]
FAMILYMED PHARMACY,"[['37035011601', '37035011702', '37109070901', '37035011601']]",[0.8693479766498466]
WAL-MART SUPERCENTER - 1236,"[['37191001302', '37191001302']]",[0.928045789043336]
RITE AID - 11514,"[['37191000603', '37191000700']]",[0.799373040752351]
MARKET STREET PHARMACY,"[['37129010100', '37129010200', '37129011200', '37129010200']]",[0.8237869390733309]
SEASHORE DURGS,"[['37019020304', '37019020313', '37019020314', '37019020315', '37019020316', '37019020315']]",[0.9487194311152223]
ANDERSON DRUG STORE,"[['37017950101', '37017950401']]",[0.8661087866108786]
PHYSICIANS PHARMACY ALLIANCE,"[['37183053405', '37183053419', '37183053405']]",[0.9390855233176363]
MARS HILL MEDICAL CENTER,[['37115010602']],[0.903443904500317]
INGLES MARKETS - 177,"[['37089931401', '37089931402', '37089931500', '37089931402']]",[0.7789964994165695]
BYNUM'S DRUG STORE,"[['37049960102', '37049960800', '37049960900', '37049960900']]",[0.8660124724871606]
CVS - 3527,"[['37151030100', '37151030202', '37151030700', '37151030201']]",[0.8561212327600886]
CRAMERTON DRUG COMPANY,"[['37071032202', '37071032403', '37071032508', '37071032510', '37071032202']]",[0.9281845186091211]
CVS - 7573,"[['37007920301', '37179020100', '37179020800', '37179020800']]",[0.8885145618156833]
HARRIS TEETER - 287,"[['37147001003', '37147000301']]",[0.9308968442060621]
CVS - 7884,"[['37021002204', '37021002303', '37021002304', '37021002204']]",[0.9388178361562391]
CVS - 3828,[['37171930901']],[0.8083864118895966]
TYRO FAMILY PHARMACY,"[['37057061701', '37057061703', '37057061704', '37057061705', '37059080400', '37057061703']]",[0.9026921230473799]
NORTHSIDE FAMILY PHARMACY,"[['37065020600', '37127010603', '37127010700', '37127010801', '37127010603']]",[0.8430676371382922]
BEAUFORT DRUG COMPANY,[['37031970305']],[0.9060803474484256]
INGLES MARKET - 33,"[['37121950300', '37121950300']]",[0.8737934362934363]
RITE AID - 11533,"[['37031970103', '37031970200', '37031970301', '37031970304', '37031970304']]",[0.8693821300053595]
NATURE'S PHARMACY AND COMPOUNDING CENTER,"[['37021000800', '37021000800']]",[0.9674486803519061]
RITE AID - 11561,[['37087920900']],[0.7729666471620831]
MEDSOURCE PHARMACY,"[['37107010700', '37107010700']]",[0.9006107717934481]
WALGREENS - 7398,"[['37181961000', '37181960500']]",[0.869317582533488]
CVS - 7213,"[['37119005849', '37119005849']]",[1.0]
RITE AID - 11478,"[['37119001911', '37119001920', '37119001910']]",[0.7177461822011585]
BOONE DRUG,[['37189920601']],[0.9099068001380739]
PERSON STREET PHARMACY,"[['37183050400', '37183050500', '37183050600', '37183050400']]",[0.9273942093541203]
CHINA GROVE DRUG COMPANY,"[['37159051201', '37159051700', '37159051700']]",[0.8820700709869476]
CVS - 7317,"[['37193960300', '37193960401', '37193960402', '37193960500', '37193960500']]",[0.8635532066266897]
WAL-MART SUPERCENTER - 1317,[['37021001900']],[0.9327752409944191]
KEEVER PHARMACY,"[['37109070300', '37109070100']]",[0.8772344013490725]
CVS - 2754,"[['37183053617', '37183053618', '37183053617']]",[0.9587036501178124]
INGLES MARKETS - 24,"[['37021002306', '37021002306']]",[0.9373886485110715]
CVS - 2561,"[['37119003019', '37119003020']]",[0.991678668586974]
LONGLEAF NEURO MEDICAL TREATMENT CENTER,"[['37195000701', '37195000702', '37195001200', '37195000801']]",[0.8268427697387588]
PIKE'S PHARMACY,"[['37119001200', '37119001300', '37119001300']]",[0.8286140089418778]
PINK HILL PHARMACY INCORPORATED,"[['37107011201', '37061090504']]",[0.8542074363992173]
WAL-MART SUPERCENTER - 1392,"[['37129011501', '37129011605', '37129011606', '37129010501']]",[0.8049862534366409]
WAL-MART SUPERCENTER - 1034,"[['37045951602', '37045951000']]",[0.8911075282153045]
WAL-MART SUPERCENTER - 3595,"[['37051003206', '37093970108', '37051003206']]",[0.9261878178885994]
NORTHERN HOSPITAL OF SURRY COUNTY,"[['37171930400', '37171930400']]",[0.811803549319026]
RITE AID - 11443,"[['37071033306', '37071033309', '37071033312', '37071033313', '37071032702']]",[0.9500794380801071]
HEALTH PARK PHARMACY,"[['37183053723', '37183053723']]",[0.8727945361411497]
TODD'S PHARMACY OF CURRITUCK,"[['37029950101', '37053110102', '37053110201', '37053110202', '37053110301', '37053110201']]",[0.9110269041303524]
FAMILY CARE PHARMACY OF JACKSONVILLE,"[['37133002600', '37133002600']]",[0.8098465929361398]
WOODARDS PHARMACY,"[['37143920101', '37143920201', '37143920201']]",[0.8781415725155638]
HARRIS TEETER - 91,"[['37081012703', '37081012703']]",[0.847860183732915]
COOKES PHARMACY INCORPORATED,"[['37097060400', '37097060400']]",[0.7915883458646616]
INGLES MARKETS - 34,[['37021003002']],[0.8297124199422329]
WAL-MART SUPERCENTER - 5085,[['37071032302']],[0.9049904030710173]
WALGREENS - 10132,[['37139960300']],[0.9334545454545454]
