Pharmacy,Populations,Insurance,Poverty,Work,Average,County,Target,Result
BOULEVARD PHARMACY INCORPORATED,"[['37157040400', '37157040501', '37157040502', '37157040400']]",0.18110524389606317,0.913368536623621,0.18890149673096665,0.42779175908355027,Rockingham,0.6298912027105816,True
THE HAWTHORNE PHARMACY,[['37067002100']],0.07256554307116105,0.8974719101123596,0.12734082397003746,0.365792759051186,Forsyth,0.6221954212353153,False
CVS - 4988,"[['37127010900', '37127011103']]",0.17001588933545192,0.898401719786896,0.18735406743252078,0.41859055885162283,Nash,0.6152477772611347,True
WALGREENS - 4548,"[['37119001916', '37119001910']]",0.07337589946285598,0.7570690179385832,0.14496439471007122,0.32513643737050346,Mecklenburg,0.6095541200719841,False
WALGREENS - 12045,[['37001020701']],0.1394222142472636,0.953884801722591,0.13529517315628925,0.4095340630420479,Alamance,0.6189910453054347,True
HARRIS TEETER - 174,"[['37119005710', '37119005716', '37119005722', '37119005723', '37119005716']]",0.07877554882664647,0.8937831188493566,0.08328579577866514,0.3519481544848894,Mecklenburg,0.6095541200719841,False
KMART,[['37183052802']],0.14215308794085937,0.847528107192361,0.05205606037270907,0.3472457518353098,Wake,0.6112400554835205,False
GREER PHARMACY,"[['37027031100', '37027030100']]",0.1602537863282849,0.7969709373720835,0.17745259686727122,0.3782257735225465,Caldwell,0.6086529128719823,True
FRANKLIN STREET PHARMACY,[['37179020406']],0.09857670005271481,0.7011070110701108,0.11411172888535875,0.3045984800027281,Union,0.6020998533440247,False
CVS - 5557,"[['37129011611', '37129011611']]",0.07713600295257428,0.8444362428492341,0.047610260195608045,0.32306083533247215,New Hanover,0.6183353687872396,False
CVS - 3833,"[['37135010705', '37135010708', '37135012202', '37135010708']]",0.08985871271585558,0.9222605965463109,0.1495133437990581,0.38721088435374157,Orange,0.6325227083559514,True
FOSCOE PHARMACY,"[['37189920900', '37189920900']]",0.15400134498991258,0.9166106254203094,0.12774540564769163,0.3994524586859712,Watauga,0.6598615554363839,True
FALLS RIVER PHARMACY,"[['37183054019', '37183054021', '37183054019']]",0.04802843680251302,0.951723567826734,0.011407787054641646,0.33705326389462953,Wake,0.6112400554835205,False
WALGREENS - 7169,"[['37183053604', '37183053425']]",0.04130146082337317,0.9774236387782205,0.019509622989717902,0.34607824086377054,Wake,0.6112400554835205,False
WALGREENS - 11893,"[['37061090506', '37061090506']]",0.2558459422283356,0.8702430077945896,0.051811095827602016,0.39263334861684235,Duplin,0.6067501404607113,True
RITE AID - 11500,"[['37119005860', '37119005860']]",0.0,0.9137931034482759,0.0,0.3045977011494253,Mecklenburg,0.6095541200719841,False
CVS - 7157,"[['37119005836', '37119005854', '37119005854']]",0.04596162427487729,0.9465640339134315,0.07206604194556002,0.3548639000446229,Mecklenburg,0.6095541200719841,False
ADVANCED HOME CARE,"[['37081016204', '37081016406', '37081016406']]",0.07849102525098875,0.9328414968055978,0.047651412173387704,0.35299464474332476,Guilford,0.6247971407630547,False
CVS - 4095,"[['37051000900', '37051001000', '37051002100', '37051002402', '37051002100']]",0.1716268600725272,0.8630736526197323,0.20444234961409297,0.41304762076878415,Cumberland,0.6040513776722567,True
CVS - 3524,[['37097060500']],0.16690160699182408,0.8987877079221878,0.09980265012686777,0.3884973216802932,Iredell,0.6076536297665317,True
CVS - 4056,"[['37183050100', '37183050700', '37183050900', '37183050100']]",0.09316947699342669,0.9156901971991998,0.10420628280216018,0.37102198566492883,Wake,0.6112400554835205,True
WAL-MART - 1579,"[['37077970300', '37077970500', '37077970400']]",0.1428336620644313,0.8895463510848126,0.16808317517947025,0.40015439610957143,Granville,0.609907866916445,True
FOOD LION - 420,[['37063001711']],0.1202990484821024,0.7313094698685999,0.14487150329770299,0.3321600072161351,Durham,0.6141125194963134,False
KROGER,"[['37183051800', '37183052603', '37183051800']]",0.03918415088822282,0.9796037722055706,0.07692869666861485,0.3652388732541361,Wake,0.6112400554835205,False
THOMAS DRUGS,[['37019020514']],0.16631652661064425,0.917016806722689,0.0914526908195568,0.3915953413842967,Brunswick,0.5945979614666878,True
RITE AID - 11510,[['37085070100']],0.21389089161259311,0.8949771689497716,0.23447279730380358,0.44778028595538943,Harnett,0.6069880918386263,True
RITE AID - 11540,"[['37147001200', '37147001302', '37147001304', '37147001403', '37147001302']]",0.15530604549834515,0.8736017428463698,0.08701001187849991,0.371972600074405,Pitt,0.645969128565846,False
WAL-MART SUPERCENTER - 1191,"[['37135010902', '37135011106', '37135010902']]",0.09450449867305327,0.8606382290115865,0.12531555440481584,0.3601527606964852,Orange,0.6325227083559514,False
RITE AID - 11551,[['37023020600']],0.1459993072393488,0.857637686179425,0.35902320748181504,0.454220066966863,Burke,0.62122229939238,True
CVS - 7688,[['37119003902']],0.13167041504804744,0.8159885503986914,0.32243654822335027,0.42336517122336303,Mecklenburg,0.6095541200719841,True
WALGREENS - 7317,"[['37063002020', '37063002021', '37063002023', '37063002023']]",0.05045687318003816,0.9631489105331861,0.05019091639871383,0.35459890003731265,Durham,0.6141125194963134,False
SEASHORE DISCOUNT DRUGS,"[['37129010900', '37129011000', '37129010900']]",0.14383137011779293,0.8716676999380037,0.18806481770021813,0.4011879625853383,New Hanover,0.6183353687872396,True
WAL-MART SUPERCENTER - 1298,[['37133001303']],0.2193664076509265,0.9856545128511656,0.07214206437291898,0.425720994958337,Onslow,0.560977263219856,True
SANDHILLS PHARMACY,"[['37153970300', '37153970500', '37153970500']]",0.17353334018288297,0.9311620260967841,0.25684124218509785,0.4538455361549216,Richmond,0.6425332748281407,True
RITE AID - 11413,[['37127010604']],0.17611640742599097,0.8943803311590567,0.08081060795596698,0.38376911551367154,Nash,0.6152477772611347,True
BI-LO - 700,"[['37179021019', '37119005849']]",0.07318573185731857,0.9927429274292743,0.0068821432960550575,0.35760360086088266,Union,0.6020998533440247,False
PITT COUNTY MEMORIAL HOSPITAL PHARMACY,[['37147000701']],0.15867158671586715,0.9166666666666666,0.43067937288656627,0.5020058754230333,Pitt,0.645969128565846,True
RUTHERFORD EAST PHARMACY,"[['37161961002', '37161961104']]",0.19656301145662847,0.8122749590834697,0.13114220631304913,0.3799933922843825,Rutherford,0.6163353562876727,True
CVS - 7047,"[['37063001706', '37063001713', '37063001504']]",0.08388188828286627,0.9045514387812676,0.13694627709707824,0.375126534720404,Durham,0.6141125194963134,True
RITE AID - 11402,"[['37063001802', '37063001808', '37063001810', '37063001811', '37063001811']]",0.08734573266122023,0.8600440349962338,0.09201600278309272,0.34646859014684894,Durham,0.6141125194963134,False
RITE AID - 11526,"[['37129010800', '37129010700']]",0.21508089654148732,0.8319726881401217,0.356437148502812,0.46783024439480697,New Hanover,0.6183353687872396,True
WALGREENS - 4870,[['37025041901']],0.1631156129933636,0.8623821166608453,0.46769123297240656,0.49772965420887183,Cabarrus,0.6096473779385173,True
RITE AID - 11464,"[['37045950701', '37045950702', '37045951000', '37045951000']]",0.16818271055559192,0.9138799816765919,0.18451236491414175,0.4221916857154419,Cleveland,0.6276466662622097,True
WAL-MART SUPERCENTER - 515,"[['37039930402', '37039930402']]",0.2471264367816092,0.8051724137931034,0.2454022988505747,0.4325670498084291,Cherokee,0.5949032672862237,True
BI-LO - 413,"[['37119006008', '37119006013', '37119006014', '37119006014']]",0.09650446372438073,0.9331070036464227,0.06544700113164843,0.36501948950081725,Mecklenburg,0.6095541200719841,False
THOMPSON PHARMACY,"[['37127010400', '37127010400']]",0.1658291457286432,0.7797319932998324,0.2950544844928751,0.4135385411737836,Nash,0.6152477772611347,True
RITE AID - 11543,[['37035011101']],0.1564525633470831,0.8930465527401297,0.09844255069056715,0.3826472222592599,Catawba,0.607559909583031,True
RITE AID - 11377,[['37191001302']],0.16189697465249386,0.928045789043336,0.11433046202036022,0.40142440857206335,Wayne,0.615952372860234,True
RITE AID - 11914,[['37183053408']],0.03736920777279522,0.9738415545590433,0.03761833582461385,0.3496096993854841,Wake,0.6112400554835205,False
MISSION HOSPITAL - MEMORIAL CAMPUS,[['37021000900']],0.20217620217620216,0.9045279045279045,0.3415233415233415,0.4827424827424827,Buncombe,0.6032988614670457,True
WALGREENS - 7622,[['37191001302']],0.16189697465249386,0.928045789043336,0.11433046202036022,0.40142440857206335,Wayne,0.615952372860234,True
RITE AID - 11521,[['37129012006']],0.15706934574859102,0.9081107571673609,0.07179612839990199,0.37899207710528465,New Hanover,0.6183353687872396,True
WAL-MART SUPERCENTER - 1300,[['37049960402']],0.12514220705346984,0.911490329920364,0.1796434213495825,0.4054253194411388,Craven,0.5961474614992683,True
RITE AID - 11539,"[['37049960401', '37049960404', '37049960402']]",0.16410436616006324,0.9188263199508039,0.11944614845324687,0.40079227818803803,Craven,0.5961474614992683,True
RITE AID - 11314,"[['37067004007', '37067004009', '37197050101', '37067004009']]",0.10639877702555144,0.9593797772439397,0.08103275328187012,0.3822704358504538,Forsyth,0.6221954212353153,True
WAL-MART SUPERCENTER - 5346,[['37001021205']],0.09899961023775497,0.9443939197089776,0.10510588540989996,0.3828331384522108,Alamance,0.6189910453054347,True
CVS - 7345,"[['37129012201', '37129012202', '37129012203', '37129012201']]",0.10515130907854471,0.8781026861611697,0.08191561755699217,0.35505653759890227,New Hanover,0.6183353687872396,False
WALGREENS - 9930,[['37089931200']],0.1861777150916784,0.8702397743300423,0.17818523742360132,0.411534242281774,Henderson,0.5904929953090631,True
RITE AID - 11524,"[['37129011608', '37129011609', '37129011609']]",0.12141512567821947,0.9171741778319124,0.04301490889011596,0.3605347374667493,New Hanover,0.6183353687872396,False
RITE AID - 11520,[['37129010501']],0.06798245614035088,0.7412280701754386,0.2993421052631579,0.36951754385964913,New Hanover,0.6183353687872396,False
WALGREENS - 4549,"[['37119005718', '37119005710']]",0.12923038355477565,0.8988468287791427,0.0861201910988182,0.3713991344775789,Mecklenburg,0.6095541200719841,True
RITE AID - 11554,[['37193960600']],0.21980495123780946,0.9302325581395349,0.20979284369114878,0.4532767843561643,Wilkes,0.613919248260094,True
HOLLADAY HEALTHCARE PHARMACY,"[['37067003806', '37067003804']]",0.12573575453976205,0.8453350031308704,0.16217908578584847,0.3777499478188269,Forsyth,0.6221954212353153,True
WALGREENS - 9988,"[['37013930501', '37013930502', '37013930600', '37013930400']]",0.18273053111762788,0.908634734441186,0.19851165219661857,0.4299589725851442,Beaufort,0.6190773159903187,True
RITE AID - 11455,"[['37179020406', '37179020406']]",0.09857670005271481,0.7011070110701108,0.11411172888535875,0.3045984800027281,Union,0.6020998533440247,False
BLUE RIDGE HOME CARE,[['37121950300']],0.17084942084942084,0.8737934362934363,0.18253968253968253,0.40906084656084657,Mitchell,0.6040844536597331,True
WAL-MART SUPERCENTER - 2730,[['37065021000']],0.1471861471861472,0.9513819513819514,0.2590742590742591,0.4525474525474526,Edgecombe,0.6422826503255457,True
HARRIS TEETER - 112,"[['37183053520', '37183053520']]",0.10241674034777483,0.8601532567049809,0.1419098143236074,0.3681599371254544,Wake,0.6112400554835205,True
WAL-MART SUPERCENTER - 1127,"[['37007920200', '37007920302', '37007920400', '37007920501', '37007980000', '37007920400']]",0.14591326589931403,0.874200674340193,0.3522384597541174,0.45745079999787475,Anson,0.6105800726579717,True
WALGREENS - 11837,"[['37019020308', '37019020311', '37019020312', '37019020404', '37019020405', '37019020406', '37019020407', '37019020407']]",0.16646856056103648,0.8902294068703197,0.10366722050795157,0.3867883959797693,Brunswick,0.5945979614666878,True
RITE AID - 11332,"[['37001020902', '37001021102', '37001021802', '37001021901', '37001020901']]",0.15171827322295034,0.9307688459806913,0.10427454563915119,0.39558722161426424,Alamance,0.6189910453054347,True
RITE AID - 11327,"[['37151030201', '37151030201']]",0.20253968253968255,0.8476190476190476,0.2092063492063492,0.41978835978835977,Randolph,0.6098074001924837,True
RITE AID - 11515,"[['37125950601', '37125950603', '37125950704']]",0.1560711057547454,0.9642462589133273,0.08319596625618152,0.40117111030808467,Moore,0.5874958594441854,True
WILSON COMMUNITY HEALTH CENTER,[['37195000100']],0.17457142857142857,0.822,0.27113133940182055,0.42256758932441635,Wilson,0.622093416535606,True
FORT BRAGG - WOMACK ARMY MEDICAL CENTER - JOEL CLINIC-DOD,"[['37051003408', '37051980200', '37051003408']]",0.05806887238352464,0.9645509790681972,0.0638699033702569,0.36216325160732626,Cumberland,0.6040513776722567,False
COSTCO,"[['37081012607', '37081012607']]",0.12709284627092846,0.9090563165905632,0.2713089802130898,0.4358193810248605,Guilford,0.6247971407630547,True
HARRIS TEETER - 127,"[['37067002601', '37067002601']]",0.09666080843585237,0.973286467486819,0.010193321616871705,0.36004686584651435,Forsyth,0.6221954212353153,False
BIDDLEVILLE PHARMACY,"[['37119004400', '37119005100', '37119004600']]",0.10876623376623376,0.7436224489795918,0.177379983726607,0.34325622215747753,Mecklenburg,0.6095541200719841,False
WOMACK ARMY MEDICAL CENTER - ROBINSON CLINIC-DOD,"[['37051003403', '37051980100', '37085071402', '37125950505', '37051003403']]",0.11315248391589838,0.9377197055117066,0.19087301587301586,0.41391506843354026,Cumberland,0.6040513776722567,True
WINYAH PHARMACY OF THE PIEDMONT,"[['37119005916', '37119980200', '37119005916']]",0.14750882699097687,0.8579835229501765,0.21773244409572381,0.4077415980122924,Mecklenburg,0.6095541200719841,True
DEEP RIVER DRUG,"[['37081016305', '37081016306', '37081016305']]",0.08606493708249184,0.9335870747242504,0.06952851226505256,0.3630601746905983,Guilford,0.6247971407630547,False
CVS - 5500,"[['37081016103', '37081016102']]",0.11621358171775155,0.8762049171450232,0.19451965774937724,0.39564605220405064,Guilford,0.6247971407630547,True
RITE AID - 11506,"[['37051003304', '37051003315', '37051003317', '37051003317']]",0.16449988287655187,0.9037830873740923,0.1628568418834931,0.41037993737804573,Cumberland,0.6040513776722567,True
HEALTH PAVILION NORTH PHARMACY,"[['37051002504', '37051002506', '37051003700', '37085071201', '37051002506']]",0.14735361350448392,0.9183664497977844,0.1420524627908889,0.40259084203105244,Cumberland,0.6040513776722567,True
BREVARD DRUG COMPANY,[['37175960301']],0.1408955223880597,0.8907462686567165,0.05894736842105263,0.36352971982194293,Transylvania,0.5864944358531187,True
CREEDMOOR DRUG COMPANY,"[['37077970604', '37077970607', '37077970606']]",0.12997081357168916,0.9202845676760306,0.12392300641613199,0.3913927958879506,Granville,0.609907866916445,True
RITE AID - 11419,[['37147000504']],0.10455588331694526,0.9233038348082596,0.38010043942247335,0.46932005251589276,Pitt,0.645969128565846,True
CVS - 4135,[['37081012607']],0.12709284627092846,0.9090563165905632,0.2713089802130898,0.4358193810248605,Guilford,0.6247971407630547,True
HOSPITAL PHARMACY INCORPORATED,"[['37085070100', '37085070300', '37163970303', '37163970304', '37085070100']]",0.17562724014336917,0.8860425890786422,0.2397840355706119,0.43381795493087444,Harnett,0.6069880918386263,True
OFFICE PRACTICE OF PHARMACY,[['37003040400']],0.15318667098026528,0.904723390488515,0.1804089709762533,0.4127730108150112,Alexander,0.601773953394901,True
RITE AID - 11343,"[['37105030401', '37105030300']]",0.16045594037702762,0.7390033610989332,0.2672602539775215,0.38890651848449415,Lee,0.6065373242283066,True
WALGREENS - 11894,[['37063002023']],0.07596253902185224,0.9441553936871314,0.06520985084980922,0.36177592785293095,Durham,0.6141125194963134,False
WALGREENS - 7548,"[['37127010506', '37127010506']]",0.09861197431116636,0.929562875492024,0.0534604227103191,0.3605450908378365,Nash,0.6152477772611347,False
BI-LO - 211,"[['37111970300', '37111970400']]",0.16784828075150657,0.8239985820630982,0.245199146514936,0.4123486697765136,McDowell,0.6029824600804007,True
CVS - 4467,"[['37089930701', '37089930702', '37089980100', '37089930701']]",0.12303206997084548,0.9147855060391503,0.0453257790368272,0.3610477850156076,Henderson,0.5904929953090631,True
PUNGO RIVER PHARMACY,"[['37013930101', '37013930102']]",0.17872506843957764,0.8971450919045757,0.12871085807238714,0.4015270061388468,Beaufort,0.6190773159903187,True
RITE AID - 11322,"[['37067002701', '37067002804', '37067002701']]",0.09997839472831371,0.8601058658312628,0.11258601072763721,0.3575567570957379,Forsyth,0.6221954212353153,False
DILWORTH DRUG,"[['37119003500', '37119003500']]",0.04309687261632342,0.9763539282990084,0.032909498878085267,0.3507867665978057,Mecklenburg,0.6095541200719841,False
RITE AID - 11379,"[['37183053204', '37183053204']]",0.07057777777777778,0.9614222222222222,0.07461633445052038,0.3688721114835068,Wake,0.6112400554835205,True
RITE AID - 11428,[['37055970302']],0.1502313990744037,0.8864364542541829,0.10786756852972589,0.3815118072861042,Dare,0.5847359151733029,True
WALGREENS - 6547,[['37051001200']],0.1671542812560952,0.8677589233469866,0.34758111521274526,0.46083143993860903,Cumberland,0.6040513776722567,True
HARRIS TEETER - 220,[['37119005527']],0.07147766323024055,0.9237113402061856,0.04776632302405498,0.3476517754868271,Mecklenburg,0.6095541200719841,False
FISHER RX DIRECT PHARMACY,[['37045951000']],0.16214720531267293,0.9061981184283343,0.14822190611664296,0.40552240995255007,Cleveland,0.6276466662622097,True
FOOD LION - 1358,"[['37183054016', '37183054019']]",0.0536718200983837,0.9388615600843289,0.01531959852086635,0.33595099290119296,Wake,0.6112400554835205,False
HILLCREST CONVALESCENT CENTER,"[['37063000402', '37063000500', '37063001503', '37063001503']]",0.06356245380635625,0.9128787878787878,0.3046021240572572,0.42701445524746706,Durham,0.6141125194963134,True
