Pharmacy,Populations,Percent
PIEDMONT PLAZA OUTPATIENT PHARMACY,"[['37067001200', '37067001100']]",[0.47883258499037845]
HARRIS TEETER - 45,"[['37119005817', '37119005817']]",[0.5177492447129909]
SAM'S CLUB - 4945,"[['37155960701', '37155960702', '37155960900']]",[0.5105639154886761]
RITE AID - 11393,"[['37183050800', '37183052002', '37183052101', '37183052102', '37183052816', '37183052101']]",[0.4846449833018731]
WAL-MART SUPERCENTER - 4273,"[['37019020205', '37019020201']]",[0.5217955371043073]
CLEVELAND DRUG COMPANY,"[['37159051901', '37159051903', '37159051904', '37159051901']]",[0.5113016367887763]
WALGREENS - 6688,[['37097061403']],[0.5016685205784205]
CVS - 1218,"[['37067003106', '37067003105']]",[0.4945815079548075]
CVS - 7548,[['37183053105']],[0.46476190476190476]
WAL-MART SUPERCENTER - 2929,"[['37051001605', '37051003102', '37051003103', '37155960203', '37051001605']]",[0.47823378780538445]
SUPERTARGET,"[['37119005508', '37119006112', '37119006113', '37119006114', '37119006115', '37119006113']]",[0.4408110322228291]
HARRIS TEETER - 66,"[['37119005840', '37119005859']]",[0.49012738853503185]
YADKIN VALLEY PHARMACY,"[['37197050502', '37197050504', '37197050504']]",[0.5181779601075117]
FALLSTON PHARMACY,"[['37045950101', '37045950200', '37045950200']]",[0.575828853046595]
WALGREENS - 12562,"[['37067002903', '37067002904', '37067003002', '37067003105']]",[0.5159138778375848]
CVS - 8417,[['37183053611']],[0.47789182787208845]
CVS - 3120,[['37023020901']],[0.516575952498763]
CVS - 7547,"[['37123960202', '37123960301', '37123960302', '37123960202']]",[0.4382932430798985]
ISLAND PHARMACY,"[['37055970501', '37055970601', '37055970601']]",[0.5105911056892536]
MEDICAP PHARMACY,"[['37149920301', '37149920301']]",[0.4982638888888889]
CVS - 4490,"[['37071031301', '37071032100']]",[0.4565661147652529]
CVS - 7021,"[['37191001200', '37191001900']]",[0.44916739702015773]
RITE AID - 11406,[['37063002023']],[0.4859903381642512]
MEDICAL VILLAGE PHARMACY INCORPORATED,"[['37035010204', '37035010204']]",[0.4875038568343104]
WAL-MART SUPERCENTER - 2005,"[['37025040703', '37025040703']]",[0.38276299112801015]
CVS - 7049,"[['37081016600', '37151031504']]",[0.45225492271861106]
RITE AID - 11344,[['37057061000']],[0.49876314162028446]
TOWNSEND'S PHARMACY,"[['37093970401', '37155960301']]",[0.42429820524620343]
BOULEVARD PHARMACY INCORPORATED,"[['37157040400', '37157040501', '37157040502', '37157040400']]",[0.4788523373732377]
THE HAWTHORNE PHARMACY,[['37067002100']],[0.4917043740573152]
CVS - 4988,"[['37127010900', '37127011103']]",[0.4390204865556978]
WALGREENS - 4548,"[['37119001916', '37119001910']]",[0.45491404476159586]
WALGREENS - 12045,[['37001020701']],[0.43310344827586206]
HARRIS TEETER - 174,"[['37119005710', '37119005716', '37119005722', '37119005723', '37119005716']]",[0.4355290819901892]
KMART,[['37183052802']],[0.49512907939600587]
GREER PHARMACY,"[['37027031100', '37027030100']]",[0.4885743519781719]
FRANKLIN STREET PHARMACY,[['37179020406']],[0.473543966501713]
CVS - 5557,"[['37129011611', '37129011611']]",[0.4786680541103018]
CVS - 3833,"[['37135010705', '37135010708', '37135012202', '37135010708']]",[0.5037451493547513]
FOSCOE PHARMACY,"[['37189920900', '37189920900']]",[0.5052224371373307]
FALLS RIVER PHARMACY,"[['37183054019', '37183054021', '37183054019']]",[0.42355371900826444]
WALGREENS - 7169,"[['37183053604', '37183053425']]",[0.5047657675927804]
WALGREENS - 11893,"[['37061090506', '37061090506']]",[0.4767970882620564]
RITE AID - 11500,"[['37119005860', '37119005860']]",[0.5254629629629629]
CVS - 7157,"[['37119005836', '37119005854', '37119005854']]",[0.506684103458297]
ADVANCED HOME CARE,"[['37081016204', '37081016406', '37081016406']]",[0.4933302930110592]
CVS - 4095,"[['37051000900', '37051001000', '37051002100', '37051002402', '37051002100']]",[0.4614915490503572]
CVS - 3524,[['37097060500']],[0.4922337278106509]
CVS - 4056,"[['37183050100', '37183050700', '37183050900', '37183050100']]",[0.6136946173562797]
WAL-MART - 1579,"[['37077970300', '37077970500', '37077970400']]",[0.5283860502838605]
FOOD LION - 420,[['37063001711']],[0.48757856929063154]
KROGER,"[['37183051800', '37183052603', '37183051800']]",[0.5055203194738078]
THOMAS DRUGS,[['37019020514']],[0.4853466761972838]
RITE AID - 11510,[['37085070100']],[0.49963289280469897]
RITE AID - 11540,"[['37147001200', '37147001302', '37147001304', '37147001403', '37147001302']]",[0.4943019036098555]
WAL-MART SUPERCENTER - 1191,"[['37135010902', '37135011106', '37135010902']]",[0.5055793991416309]
RITE AID - 11551,[['37023020600']],[0.5242993969492727]
CVS - 7688,[['37119003902']],[0.454172366621067]
WALGREENS - 7317,"[['37063002020', '37063002021', '37063002023', '37063002023']]",[0.49037546658859693]
SEASHORE DISCOUNT DRUGS,"[['37129010900', '37129011000', '37129010900']]",[0.42985501327343273]
WAL-MART SUPERCENTER - 1298,[['37133001303']],[0.47039740470397406]
SANDHILLS PHARMACY,"[['37153970300', '37153970500', '37153970500']]",[0.47093813732155]
RITE AID - 11413,[['37127010604']],[0.4730493780625707]
BI-LO - 700,"[['37179021019', '37119005849']]",[0.44751927258351454]
PITT COUNTY MEMORIAL HOSPITAL PHARMACY,[['37147000701']],[0.46924113156713065]
RUTHERFORD EAST PHARMACY,"[['37161961002', '37161961104']]",[0.5381345336334084]
CVS - 7047,"[['37063001706', '37063001713', '37063001504']]",[0.4571391179165031]
RITE AID - 11402,"[['37063001802', '37063001808', '37063001810', '37063001811', '37063001811']]",[0.4899799171046447]
RITE AID - 11526,"[['37129010800', '37129010700']]",[0.4866039102099928]
WALGREENS - 4870,[['37025041901']],[0.5561762880198634]
RITE AID - 11464,"[['37045950701', '37045950702', '37045951000', '37045951000']]",[0.4340665294181385]
WAL-MART SUPERCENTER - 515,"[['37039930402', '37039930402']]",[0.5199335548172758]
BI-LO - 413,"[['37119006008', '37119006013', '37119006014', '37119006014']]",[0.4322033898305085]
THOMPSON PHARMACY,"[['37127010400', '37127010400']]",[0.47086429409464214]
RITE AID - 11543,[['37035011101']],[0.574585635359116]
RITE AID - 11377,[['37191001302']],[0.4441053033193438]
RITE AID - 11914,[['37183053408']],[0.5188976377952756]
MISSION HOSPITAL - MEMORIAL CAMPUS,[['37021000900']],[0.5142276422764228]
WALGREENS - 7622,[['37191001302']],[0.4441053033193438]
RITE AID - 11521,[['37129012006']],[0.4670261302364164]
WAL-MART SUPERCENTER - 1300,[['37049960402']],[0.4549019607843137]
RITE AID - 11539,"[['37049960401', '37049960404', '37049960402']]",[0.4778263585259213]
RITE AID - 11314,"[['37067004007', '37067004009', '37197050101', '37067004009']]",[0.49438286963733696]
WAL-MART SUPERCENTER - 5346,[['37001021205']],[0.4374653611675596]
CVS - 7345,"[['37129012201', '37129012202', '37129012203', '37129012201']]",[0.44220090863200406]
WALGREENS - 9930,[['37089931200']],[0.39372822299651566]
RITE AID - 11524,"[['37129011608', '37129011609', '37129011609']]",[0.5254047537030658]
RITE AID - 11520,[['37129010501']],[0.4099276791584484]
WALGREENS - 4549,"[['37119005718', '37119005710']]",[0.48971650917176207]
RITE AID - 11554,[['37193960600']],[0.47559523809523807]
HOLLADAY HEALTHCARE PHARMACY,"[['37067003806', '37067003804']]",[0.43783986499156197]
WALGREENS - 9988,"[['37013930501', '37013930502', '37013930600', '37013930400']]",[0.4727019199828381]
RITE AID - 11455,"[['37179020406', '37179020406']]",[0.473543966501713]
BLUE RIDGE HOME CARE,[['37121950300']],[0.46587974917004793]
WAL-MART SUPERCENTER - 2730,[['37065021000']],[0.5244470314318975]
HARRIS TEETER - 112,"[['37183053520', '37183053520']]",[0.5401888772298006]
WAL-MART SUPERCENTER - 1127,"[['37007920200', '37007920302', '37007920400', '37007920501', '37007980000', '37007920400']]",[0.4998478856099787]
WALGREENS - 11837,"[['37019020308', '37019020311', '37019020312', '37019020404', '37019020405', '37019020406', '37019020407', '37019020407']]",[0.4739157762413576]
RITE AID - 11332,"[['37001020902', '37001021102', '37001021802', '37001021901', '37001020901']]",[0.4680817361001109]
RITE AID - 11327,"[['37151030201', '37151030201']]",[0.5270625328428796]
RITE AID - 11515,"[['37125950601', '37125950603', '37125950704']]",[0.47655968265416515]
WILSON COMMUNITY HEALTH CENTER,[['37195000100']],[0.5152855993563958]
FORT BRAGG - WOMACK ARMY MEDICAL CENTER - JOEL CLINIC-DOD,"[['37051003408', '37051980200', '37051003408']]",[0.5846880644713075]
COSTCO,"[['37081012607', '37081012607']]",[0.5003061849357011]
HARRIS TEETER - 127,"[['37067002601', '37067002601']]",[0.4172876304023845]
BIDDLEVILLE PHARMACY,"[['37119004400', '37119005100', '37119004600']]",[0.5132075471698113]
WOMACK ARMY MEDICAL CENTER - ROBINSON CLINIC-DOD,"[['37051003403', '37051980100', '37085071402', '37125950505', '37051003403']]",[0.5560552521683264]
WINYAH PHARMACY OF THE PIEDMONT,"[['37119005916', '37119980200', '37119005916']]",[0.4956896551724138]
DEEP RIVER DRUG,"[['37081016305', '37081016306', '37081016305']]",[0.4942178167492693]
CVS - 5500,"[['37081016103', '37081016102']]",[0.4545596258768511]
RITE AID - 11506,"[['37051003304', '37051003315', '37051003317', '37051003317']]",[0.5027900869850648]
HEALTH PAVILION NORTH PHARMACY,"[['37051002504', '37051002506', '37051003700', '37085071201', '37051002506']]",[0.49224609126731916]
BREVARD DRUG COMPANY,[['37175960301']],[0.49306197964847365]
CREEDMOOR DRUG COMPANY,"[['37077970604', '37077970607', '37077970606']]",[0.4484467059453669]
RITE AID - 11419,[['37147000504']],[0.47585724282715186]
CVS - 4135,[['37081012607']],[0.5003061849357011]
HOSPITAL PHARMACY INCORPORATED,"[['37085070100', '37085070300', '37163970303', '37163970304', '37085070100']]",[0.4772088267870836]
OFFICE PRACTICE OF PHARMACY,[['37003040400']],[0.47135041750647855]
RITE AID - 11343,"[['37105030401', '37105030300']]",[0.5648517042939354]
WALGREENS - 11894,[['37063002023']],[0.4859903381642512]
WALGREENS - 7548,"[['37127010506', '37127010506']]",[0.37151898734177213]
BI-LO - 211,"[['37111970300', '37111970400']]",[0.45424657534246576]
CVS - 4467,"[['37089930701', '37089930702', '37089980100', '37089930701']]",[0.504102999434069]
PUNGO RIVER PHARMACY,"[['37013930101', '37013930102']]",[0.5084558823529411]
RITE AID - 11322,"[['37067002701', '37067002804', '37067002701']]",[0.5294117647058824]
DILWORTH DRUG,"[['37119003500', '37119003500']]",[0.42669264490988795]
RITE AID - 11379,"[['37183053204', '37183053204']]",[0.5029519257801518]
RITE AID - 11428,[['37055970302']],[0.5465807730426164]
WALGREENS - 6547,[['37051001200']],[0.5306529797547762]
HARRIS TEETER - 220,[['37119005527']],[0.38359933957072095]
FISHER RX DIRECT PHARMACY,[['37045951000']],[0.41842971321109546]
FOOD LION - 1358,"[['37183054016', '37183054019']]",[0.4442704254763769]
HILLCREST CONVALESCENT CENTER,"[['37063000402', '37063000500', '37063001503', '37063001503']]",[0.47481042900176584]
WAKE FOREST UNIVERSITY BAPTIST MEDICAL CENTER PHARMACY,"[['37067001000', '37067001100', '37067001100']]",[0.4438601478112564]
JOHNSON DRUG AND HOME MEDICAL,[['37133001301']],[0.3758059564015966]
BORDEAUX DRUG COMPANY,"[['37051001701', '37051001701']]",[0.41624365482233505]
BROOKCARE PHARMACY SERVICES,"[['37067004013', '37067004014']]",[0.5075212557226946]
HARRIS TEETER - 341,[['37081013602']],[0.500184026499816]
WAL-MART SUPERCENTER - 4458,"[['37183053206', '37183053204']]",[0.4955956678700361]
RITE AID - 11394,"[['37183052505', '37183052506', '37183053714', '37183053715', '37183052506']]",[0.4951174452362101]
CANNON PHARMACY,[['37023020802']],[0.5323916220165611]
WALGREENS - 9527,"[['37081013602', '37081013602']]",[0.500184026499816]
BRYSON CITY HEALTH MART PHARMACY,"[['37173960200', '37173960301', '37173960302', '37173980200', '37173960200']]",[0.4762483130904184]
HUDSON DISCOUNT DRUG,"[['37027030400', '37027030700', '37027030600']]",[0.5371200797209765]
SEA LEVEL PHARMACY,"[['37031970101', '37031970102', '37031980100', '37031990200', '37137990100', '37031970101']]",[0.46469833119383824]
WAL-MART SUPERCENTER - 2058,[['37183052701']],[0.5938084354872221]
PENDER MEMORIAL HOSPITAL,"[['37141920403', '37141920403']]",[0.5463340122199593]
WAYNESVILLE PHARMACY INCORPORATED,"[['37087921201', '37087921201']]",[0.5260115606936416]
RITE AID - 11503,"[['37051000600', '37051000702', '37051000702']]",[0.4748433303491495]
FORT BRAGG - WOMACK ARMY MEDICAL CENTER - CLARK HEALTH CLINIC-DOD,"[['37051003404', '37051003410', '37051003410']]",[0.8144]
ROCK DRUG STORE INCORPORATED,"[['37023020902', '37023020902']]",[0.4745078243311459]
COCHRANE-RIDENHOUR DRUG COMPANY,"[['37123960401', '37123960402', '37123960401']]",[0.4856142106579935]
HUNTER DRUG COMPANY INCORPORATED,"[['37185950300', '37185950400', '37185950300']]",[0.4890996838076219]
RITE AID - 11382,[['37145920400']],[0.40380313199105144]
CVS - 4253,"[['37067004012', '37067004011']]",[0.4933884297520661]
ID CONSULTANTS PHARMACY,"[['37119002910', '37119003102', '37119003111']]",[0.5014439485429246]
PROFESSIONAL PHARMACY,"[['37077970101', '37077970102', '37077970200', '37077970400']]",[0.5081266833844154]
CVS - 5341,"[['37179021013', '37179021014', '37179021015', '37179021013']]",[0.4979860365198711]
WAL-MART SUPERCENTER - 5320,[['37081012612']],[0.48158788195351265]
GLOBAL RX,"[['37135011103', '37135011107', '37135011211', '37135011107']]",[0.5032460732984293]
TAS DRUG,"[['37045950301', '37071030602', '37109070500', '37071030700']]",[0.5073611534165905]
RITE AID - 11345,"[['37057060601', '37057060700', '37081014408']]",[0.4827825283106078]
LINCOLN COMMUNITY HEALTH CENTER,"[['37063000700', '37063001001', '37063001301', '37063001400', '37063002300', '37063001301']]",[0.4885279954678501]
EAST CAROLINA UNIVERSTIY BRODY SCHOOL OF MEDICINE - BRODY OUTPATIENT PHARMACY,[['37147000701']],[0.46924113156713065]
NORTHWOODS DRUG COMPANY INCORPORATED,"[['37133001400', '37133001500', '37133001700', '37133001700']]",[0.5400396151669496]
HARRIS TEETER - 274,"[['37097061203', '37097061204', '37097061402']]",[0.517421445934996]
CVS - 5583,"[['37119000700', '37119000900', '37119001400', '37119001400']]",[0.4951601751555658]
INGLES MARKETS - 147,"[['37045950302', '37045950601', '37045950604', '37045950601']]",[0.4715543515069421]
WAL-MART SUPERCENTER - 1385,[['37071031303']],[0.5186104218362283]
WALGREENS - 6690,[['37067002701']],[0.5569321533923304]
WAL-MART SUPERCENTER - 2472,"[['37067003805', '37067003805']]",[0.3888402625820569]
WAL-MART SUPERCENTER - 1132,"[['37151030804', '37151030806', '37151030201']]",[0.4994152046783626]
WALGREENS - 11692,[['37179020602']],[0.4657079646017699]
WALGREENS - 9931,[['37129011612']],[0.5005596597268861]
RITE AID - 11417,"[['37147000201', '37147000303']]",[0.4834672435105068]
BEACH PHARMACY,"[['37055970502', '37055990200', '37095990100', '37095990200', '37055970502']]",[0.48938134810710987]
VILLAGE PHARMACY,"[['37117970400', '37117970600', '37117970600']]",[0.48679719777258845]
RITE AID - 11448,"[['37025041001', '37025041002', '37025041201', '37159051502', '37159051801', '37025041002']]",[0.41925979159180743]
CVS - 5591,"[['37097061001', '37097060100']]",[0.42859440334512705]
RITE AID - 11459,"[['37071031004', '37071031102', '37071031204', '37071031102']]",[0.4483917426788286]
BRAME HUIE PHARMACY,[['37193960700']],[0.4945138100643208]
RITE AID - 11439,"[['37071030302', '37071030902', '37071030902']]",[0.38648180242634317]
SENIOR CARE PHARMACY,"[['37119005713', '37119005721', '37119005720']]",[0.4755464695706872]
CAROLINAS MEDICAL CENTER - BIDDLE POINT PHARMACY,"[['37119004102', '37119004500', '37119004700', '37119004700']]",[0.45372076541459955]
SALISBURY PHARMACY / MEDEXPRESS PHARMACY,"[['37159050400', '37159050400']]",[0.5033653846153846]
COOR'S PHARMACY AND MEDICAL SUPPLY,[['37191001900']],[0.46997178557033453]
CVS - 7013,"[['37021002803', '37021002702']]",[0.5041269841269841]
HARRIS TEETER - 272,"[['37119006210', '37119006220', '37119006221', '37119006209']]",[0.5187176041466692]
CVS - 7597,"[['37085070600', '37085070700', '37085070801', '37085070802', '37085070700']]",[0.5678272732665045]
CVS - 5568,"[['37041930102', '37041930201', '37041930202', '37041930101']]",[0.474120082815735]
CVS - 5463,"[['37119005615', '37119005618', '37119005615']]",[0.5050983248361253]
RITE AID - 11336,[['37081016506']],[0.5014359563469271]
HAYESVILLE PHARMACY,"[['37043950201', '37043950201']]",[0.45416666666666666]
CVS - 7056,"[['37119004600', '37119004800', '37119005000', '37119004600']]",[0.5066491304983195]
GOLDSBORO DRUG COMPANY,"[['37191001500', '37191001800', '37191002000', '37191001800']]",[0.41840490797546015]
MEDICAL CENTER PHARMACY,"[['37035010900', '37035010900']]",[0.4654226125137212]
WALGREENS - 11713,"[['37101041112', '37101041113', '37183052902', '37101041112']]",[0.4637964774951076]
FAMILY MEDICAL SUPPLY,[['37085070500']],[0.46710905943450665]
SHELBY DRUGSTORE,"[['37045950800', '37045950900']]",[0.44339622641509435]
STANELY APOTHECARY,"[['37119001801', '37119001801']]",[0.5244360902255639]
LEXINGTON DRUG COMPANY,[['37057061400']],[0.4710957722174288]
WALGREENS - 7699,[['37025042402']],[0.4466920514040933]
INGLES MARKETS - 3,"[['37021001602', '37021001700', '37021001601']]",[0.49263891087541556]
RITE AID - 11368,[['37183053425']],[0.5387359836901121]
SAMS PHARMACY,"[['37061090801', '37061090803', '37061090804', '37061090804']]",[0.5076227173730943]
CVS - 7043,"[['37061090102', '37061090401', '37061090402', '37061090401']]",[0.5331367375446221]
WALGREENS - 10891,[['37045951000']],[0.41842971321109546]
CVS - 3440,"[['37179021016', '37179021016']]",[0.49606757937663853]
WALGREENS - 5761,"[['37119003201', '37119003203', '37119003110']]",[0.53507871321013]
RITE AID - 11349,"[['37081012619', '37081012619']]",[0.5111111111111111]
FARM FRESH - 6273,[['37139960300']],[0.3719115734720416]
WALGREENS - 9090,[['37001021000']],[0.43037088873338]
CVS - 7529,"[['37183054108', '37183054112', '37183054112']]",[0.47028620328991155]
FAYETTEVILLE TREATMENT CENTER,"[['37051000200', '37051001401', '37051001402', '37051003800']]",[0.5440222428174235]
CABARRUS HEALTH ALLIANCE,"[['37025042101', '37025042202', '37025042101']]",[0.48127795527156547]
COOPERS PHARMACY INCORPORATED,"[['37125950503', '37125950504', '37125950507', '37125950507']]",[0.5242785954340016]
CVS - 7349,"[['37025042402', '37025042402']]",[0.4466920514040933]
CAROLINA DRUG,"[['37151031303', '37151031504', '37151031505', '37151031504']]",[0.46146087248886275]
RITE AID - 11471,"[['37119002701', '37119002800', '37119002701']]",[0.5331448319195727]
AVERY PHARMACY,"[['37011930200', '37011930200']]",[0.5106257378984652]
CORAM SPECIALTY INFUSION SERVICES,"[['37183053612', '37183053609']]",[0.5279091769157994]
CVS - 7550,"[['37133000401', '37133000405']]",[0.5551307847082495]
CVS - 4197,"[['37089930502', '37089930600', '37089930600']]",[0.5047537656233309]
RITE AID - 11367,"[['37135011500', '37135012103']]",[0.44345238095238093]
RITE AID - 11388,"[['37183050300', '37183051102', '37183051200', '37183051200']]",[0.5136569070544311]
CVS - 5508,[['37017950401']],[0.4057826520438684]
WALGREENS - 11892,"[['37097061401', '37097061405', '37097061406', '37097061405']]",[0.4949821101317742]
WAL-MART - 1498,[['37081015705']],[0.4625199362041467]
KM HEALTH MART PHARMACY,"[['37045950400', '37045950400']]",[0.5028676301904107]
RITE AID - 11476,"[['37119002202', '37119002202']]",[0.43927765237020316]
WALGREENS - 11629,"[['37035010301', '37035010302', '37035010303', '37035010304', '37035010304']]",[0.5423218673218673]
FAMILYMED PHARMACY,"[['37035011601', '37035011702', '37109070901', '37035011601']]",[0.55301685891748]
WAL-MART SUPERCENTER - 1236,"[['37191001302', '37191001302']]",[0.4441053033193438]
RITE AID - 11514,"[['37191000603', '37191000700']]",[0.49337349397590363]
MARKET STREET PHARMACY,"[['37129010100', '37129010200', '37129011200', '37129010200']]",[0.46149981158145964]
SEASHORE DURGS,"[['37019020304', '37019020313', '37019020314', '37019020315', '37019020316', '37019020315']]",[0.4645191964816356]
ANDERSON DRUG STORE,"[['37017950101', '37017950401']]",[0.4784862623120788]
PHYSICIANS PHARMACY ALLIANCE,"[['37183053405', '37183053419', '37183053405']]",[0.5124488603156049]
MARS HILL MEDICAL CENTER,[['37115010602']],[0.5809494826536823]
INGLES MARKETS - 177,"[['37089931401', '37089931402', '37089931500', '37089931402']]",[0.46461739699149773]
BYNUM'S DRUG STORE,"[['37049960102', '37049960800', '37049960900', '37049960900']]",[0.5033039647577092]
CVS - 3527,"[['37151030100', '37151030202', '37151030700', '37151030201']]",[0.5239504843918191]
CRAMERTON DRUG COMPANY,"[['37071032202', '37071032403', '37071032508', '37071032510', '37071032202']]",[0.46788490385926634]
CVS - 7573,"[['37007920301', '37179020100', '37179020800', '37179020800']]",[0.5174896371173006]
HARRIS TEETER - 287,"[['37147001003', '37147000301']]",[0.4846589798710182]
CVS - 7884,"[['37021002204', '37021002303', '37021002304', '37021002204']]",[0.4789443488238669]
CVS - 3828,[['37171930901']],[0.5529506871463218]
TYRO FAMILY PHARMACY,"[['37057061701', '37057061703', '37057061704', '37057061705', '37059080400', '37057061703']]",[0.5086521210718213]
NORTHSIDE FAMILY PHARMACY,"[['37065020600', '37127010603', '37127010700', '37127010801', '37127010603']]",[0.48017789072426936]
BEAUFORT DRUG COMPANY,[['37031970305']],[0.4795836669335468]
INGLES MARKET - 33,"[['37121950300', '37121950300']]",[0.46587974917004793]
RITE AID - 11533,"[['37031970103', '37031970200', '37031970301', '37031970304', '37031970304']]",[0.43948871362523795]
NATURE'S PHARMACY AND COMPOUNDING CENTER,"[['37021000800', '37021000800']]",[0.4857389801210026]
RITE AID - 11561,[['37087920900']],[0.488034188034188]
MEDSOURCE PHARMACY,"[['37107010700', '37107010700']]",[0.5710123816460306]
WALGREENS - 7398,"[['37181961000', '37181960500']]",[0.5140473352630682]
CVS - 7213,"[['37119005849', '37119005849']]",[0.4027986006996502]
RITE AID - 11478,"[['37119001911', '37119001920', '37119001910']]",[0.48312159709618874]
BOONE DRUG,[['37189920601']],[0.576049943246311]
PERSON STREET PHARMACY,"[['37183050400', '37183050500', '37183050600', '37183050400']]",[0.4764036786060019]
CHINA GROVE DRUG COMPANY,"[['37159051201', '37159051700', '37159051700']]",[0.519323339293082]
CVS - 7317,"[['37193960300', '37193960401', '37193960402', '37193960500', '37193960500']]",[0.4990180032733224]
WAL-MART SUPERCENTER - 1317,[['37021001900']],[0.4288443170964661]
KEEVER PHARMACY,"[['37109070300', '37109070100']]",[0.4815956482320943]
CVS - 2754,"[['37183053617', '37183053618', '37183053617']]",[0.4620773878390539]
INGLES MARKETS - 24,"[['37021002306', '37021002306']]",[0.47503566333808844]
CVS - 2561,"[['37119003019', '37119003020']]",[0.5033577533577533]
LONGLEAF NEURO MEDICAL TREATMENT CENTER,"[['37195000701', '37195000702', '37195001200', '37195000801']]",[0.4924461587913854]
PIKE'S PHARMACY,"[['37119001200', '37119001300', '37119001300']]",[0.49091090691170597]
PINK HILL PHARMACY INCORPORATED,"[['37107011201', '37061090504']]",[0.5987495402721589]
WAL-MART SUPERCENTER - 1392,"[['37129011501', '37129011605', '37129011606', '37129010501']]",[0.5152321083172147]
WAL-MART SUPERCENTER - 1034,"[['37045951602', '37045951000']]",[0.44652792087368637]
WAL-MART SUPERCENTER - 3595,"[['37051003206', '37093970108', '37051003206']]",[0.5101717305151915]
NORTHERN HOSPITAL OF SURRY COUNTY,"[['37171930400', '37171930400']]",[0.5885906040268456]
RITE AID - 11443,"[['37071033306', '37071033309', '37071033312', '37071033313', '37071032702']]",[0.4997999733297773]
HEALTH PARK PHARMACY,"[['37183053723', '37183053723']]",[0.5040783034257749]
TODD'S PHARMACY OF CURRITUCK,"[['37029950101', '37053110102', '37053110201', '37053110202', '37053110301', '37053110201']]",[0.5037053798721502]
FAMILY CARE PHARMACY OF JACKSONVILLE,"[['37133002600', '37133002600']]",[0.4316831683168317]
WOODARDS PHARMACY,"[['37143920101', '37143920201', '37143920201']]",[0.46314631463146316]
HARRIS TEETER - 91,"[['37081012703', '37081012703']]",[0.4535855697316322]
COOKES PHARMACY INCORPORATED,"[['37097060400', '37097060400']]",[0.5188916876574308]
INGLES MARKETS - 34,[['37021003002']],[0.42191390964069725]
WAL-MART SUPERCENTER - 5085,[['37071032302']],[0.42950236966824645]
