Pharmacy,Populations,Percent
ISLAND PHARMACY,"[['37055970501', '37055970601', '37055970601']]",[0.09177640419242139]
MEDICAP PHARMACY,"[['37149920301', '37149920301']]",[0.10266535044422508]
CVS - 4490,"[['37071031301', '37071032100']]",[0.11417995444191344]
CVS - 7021,"[['37191001200', '37191001900']]",[0.28941742383752006]
RITE AID - 11406,[['37063002023']],[0.06520985084980922]
MEDICAL VILLAGE PHARMACY INCORPORATED,"[['37035010204', '37035010204']]",[0.1464060272856852]
WAL-MART SUPERCENTER - 2005,"[['37025040703', '37025040703']]",[0.21791862284820032]
CVS - 7049,"[['37081016600', '37151031504']]",[0.061712846347607056]
RITE AID - 11344,[['37057061000']],[0.1362098138747885]
TOWNSEND'S PHARMACY,"[['37093970401', '37155960301']]",[0.33460354682690896]
BOULEVARD PHARMACY INCORPORATED,"[['37157040400', '37157040501', '37157040502', '37157040400']]",[0.18890149673096665]
THE HAWTHORNE PHARMACY,[['37067002100']],[0.12734082397003746]
CVS - 4988,"[['37127010900', '37127011103']]",[0.18735406743252078]
WALGREENS - 4548,"[['37119001916', '37119001910']]",[0.14496439471007122]
WALGREENS - 12045,[['37001020701']],[0.13529517315628925]
HARRIS TEETER - 174,"[['37119005710', '37119005716', '37119005722', '37119005723', '37119005716']]",[0.08328579577866514]
KMART,[['37183052802']],[0.05205606037270907]
GREER PHARMACY,"[['37027031100', '37027030100']]",[0.17745259686727122]
FRANKLIN STREET PHARMACY,[['37179020406']],[0.11411172888535875]
CVS - 5557,"[['37129011611', '37129011611']]",[0.047610260195608045]
CVS - 3833,"[['37135010705', '37135010708', '37135012202', '37135010708']]",[0.1495133437990581]
FOSCOE PHARMACY,"[['37189920900', '37189920900']]",[0.12774540564769163]
FALLS RIVER PHARMACY,"[['37183054019', '37183054021', '37183054019']]",[0.011407787054641646]
WALGREENS - 7169,"[['37183053604', '37183053425']]",[0.019509622989717902]
WALGREENS - 11893,"[['37061090506', '37061090506']]",[0.051811095827602016]
RITE AID - 11500,"[['37119005860', '37119005860']]",[0.0]
CVS - 7157,"[['37119005836', '37119005854', '37119005854']]",[0.07206604194556002]
ADVANCED HOME CARE,"[['37081016204', '37081016406', '37081016406']]",[0.047651412173387704]
CVS - 4095,"[['37051000900', '37051001000', '37051002100', '37051002402', '37051002100']]",[0.20444234961409297]
CVS - 3524,[['37097060500']],[0.09980265012686777]
CVS - 4056,"[['37183050100', '37183050700', '37183050900', '37183050100']]",[0.10420628280216018]
WAL-MART - 1579,"[['37077970300', '37077970500', '37077970400']]",[0.16808317517947025]
FOOD LION - 420,[['37063001711']],[0.14487150329770299]
KROGER,"[['37183051800', '37183052603', '37183051800']]",[0.07692869666861485]
THOMAS DRUGS,[['37019020514']],[0.0914526908195568]
RITE AID - 11510,[['37085070100']],[0.23447279730380358]
RITE AID - 11540,"[['37147001200', '37147001302', '37147001304', '37147001403', '37147001302']]",[0.08701001187849991]
WAL-MART SUPERCENTER - 1191,"[['37135010902', '37135011106', '37135010902']]",[0.12531555440481584]
RITE AID - 11551,[['37023020600']],[0.35902320748181504]
CVS - 7688,[['37119003902']],[0.32243654822335027]
WALGREENS - 7317,"[['37063002020', '37063002021', '37063002023', '37063002023']]",[0.05019091639871383]
SEASHORE DISCOUNT DRUGS,"[['37129010900', '37129011000', '37129010900']]",[0.18806481770021813]
WAL-MART SUPERCENTER - 1298,[['37133001303']],[0.07214206437291898]
SANDHILLS PHARMACY,"[['37153970300', '37153970500', '37153970500']]",[0.25684124218509785]
RITE AID - 11413,[['37127010604']],[0.08081060795596698]
BI-LO - 700,"[['37179021019', '37119005849']]",[0.0068821432960550575]
PITT COUNTY MEMORIAL HOSPITAL PHARMACY,[['37147000701']],[0.43067937288656627]
RUTHERFORD EAST PHARMACY,"[['37161961002', '37161961104']]",[0.13114220631304913]
CVS - 7047,"[['37063001706', '37063001713', '37063001504']]",[0.13694627709707824]
RITE AID - 11402,"[['37063001802', '37063001808', '37063001810', '37063001811', '37063001811']]",[0.09201600278309272]
RITE AID - 11526,"[['37129010800', '37129010700']]",[0.356437148502812]
WALGREENS - 4870,[['37025041901']],[0.46769123297240656]
RITE AID - 11464,"[['37045950701', '37045950702', '37045951000', '37045951000']]",[0.18451236491414175]
WAL-MART SUPERCENTER - 515,"[['37039930402', '37039930402']]",[0.2454022988505747]
BI-LO - 413,"[['37119006008', '37119006013', '37119006014', '37119006014']]",[0.06544700113164843]
THOMPSON PHARMACY,"[['37127010400', '37127010400']]",[0.2950544844928751]
RITE AID - 11543,[['37035011101']],[0.09844255069056715]
RITE AID - 11377,[['37191001302']],[0.11433046202036022]
RITE AID - 11914,[['37183053408']],[0.03761833582461385]
MISSION HOSPITAL - MEMORIAL CAMPUS,[['37021000900']],[0.3415233415233415]
WALGREENS - 7622,[['37191001302']],[0.11433046202036022]
RITE AID - 11521,[['37129012006']],[0.07179612839990199]
WAL-MART SUPERCENTER - 1300,[['37049960402']],[0.1796434213495825]
RITE AID - 11539,"[['37049960401', '37049960404', '37049960402']]",[0.11944614845324687]
RITE AID - 11314,"[['37067004007', '37067004009', '37197050101', '37067004009']]",[0.08103275328187012]
WAL-MART SUPERCENTER - 5346,[['37001021205']],[0.10510588540989996]
CVS - 7345,"[['37129012201', '37129012202', '37129012203', '37129012201']]",[0.08191561755699217]
WALGREENS - 9930,[['37089931200']],[0.17818523742360132]
RITE AID - 11524,"[['37129011608', '37129011609', '37129011609']]",[0.04301490889011596]
RITE AID - 11520,[['37129010501']],[0.2993421052631579]
WALGREENS - 4549,"[['37119005718', '37119005710']]",[0.0861201910988182]
RITE AID - 11554,[['37193960600']],[0.20979284369114878]
HOLLADAY HEALTHCARE PHARMACY,"[['37067003806', '37067003804']]",[0.16217908578584847]
WALGREENS - 9988,"[['37013930501', '37013930502', '37013930600', '37013930400']]",[0.19851165219661857]
RITE AID - 11455,"[['37179020406', '37179020406']]",[0.11411172888535875]
BLUE RIDGE HOME CARE,[['37121950300']],[0.18253968253968253]
WAL-MART SUPERCENTER - 2730,[['37065021000']],[0.2590742590742591]
HARRIS TEETER - 112,"[['37183053520', '37183053520']]",[0.1419098143236074]
WAL-MART SUPERCENTER - 1127,"[['37007920200', '37007920302', '37007920400', '37007920501', '37007980000', '37007920400']]",[0.3522384597541174]
WALGREENS - 11837,"[['37019020308', '37019020311', '37019020312', '37019020404', '37019020405', '37019020406', '37019020407', '37019020407']]",[0.10366722050795157]
RITE AID - 11332,"[['37001020902', '37001021102', '37001021802', '37001021901', '37001020901']]",[0.10427454563915119]
RITE AID - 11327,"[['37151030201', '37151030201']]",[0.2092063492063492]
RITE AID - 11515,"[['37125950601', '37125950603', '37125950704']]",[0.08319596625618152]
WILSON COMMUNITY HEALTH CENTER,[['37195000100']],[0.27113133940182055]
FORT BRAGG - WOMACK ARMY MEDICAL CENTER - JOEL CLINIC-DOD,"[['37051003408', '37051980200', '37051003408']]",[0.0638699033702569]
COSTCO,"[['37081012607', '37081012607']]",[0.2713089802130898]
HARRIS TEETER - 127,"[['37067002601', '37067002601']]",[0.010193321616871705]
BIDDLEVILLE PHARMACY,"[['37119004400', '37119005100', '37119004600']]",[0.177379983726607]
WOMACK ARMY MEDICAL CENTER - ROBINSON CLINIC-DOD,"[['37051003403', '37051980100', '37085071402', '37125950505', '37051003403']]",[0.19087301587301586]
WINYAH PHARMACY OF THE PIEDMONT,"[['37119005916', '37119980200', '37119005916']]",[0.21773244409572381]
DEEP RIVER DRUG,"[['37081016305', '37081016306', '37081016305']]",[0.06952851226505256]
CVS - 5500,"[['37081016103', '37081016102']]",[0.19451965774937724]
RITE AID - 11506,"[['37051003304', '37051003315', '37051003317', '37051003317']]",[0.1628568418834931]
HEALTH PAVILION NORTH PHARMACY,"[['37051002504', '37051002506', '37051003700', '37085071201', '37051002506']]",[0.1420524627908889]
BREVARD DRUG COMPANY,[['37175960301']],[0.05894736842105263]
CREEDMOOR DRUG COMPANY,"[['37077970604', '37077970607', '37077970606']]",[0.12392300641613199]
RITE AID - 11419,[['37147000504']],[0.38010043942247335]
CVS - 4135,[['37081012607']],[0.2713089802130898]
HOSPITAL PHARMACY INCORPORATED,"[['37085070100', '37085070300', '37163970303', '37163970304', '37085070100']]",[0.2397840355706119]
OFFICE PRACTICE OF PHARMACY,[['37003040400']],[0.1804089709762533]
RITE AID - 11343,"[['37105030401', '37105030300']]",[0.2672602539775215]
WALGREENS - 11894,[['37063002023']],[0.06520985084980922]
WALGREENS - 7548,"[['37127010506', '37127010506']]",[0.0534604227103191]
BI-LO - 211,"[['37111970300', '37111970400']]",[0.245199146514936]
CVS - 4467,"[['37089930701', '37089930702', '37089980100', '37089930701']]",[0.0453257790368272]
PUNGO RIVER PHARMACY,"[['37013930101', '37013930102']]",[0.12871085807238714]
RITE AID - 11322,"[['37067002701', '37067002804', '37067002701']]",[0.11258601072763721]
DILWORTH DRUG,"[['37119003500', '37119003500']]",[0.032909498878085267]
RITE AID - 11379,"[['37183053204', '37183053204']]",[0.07461633445052038]
RITE AID - 11428,[['37055970302']],[0.10786756852972589]
WALGREENS - 6547,[['37051001200']],[0.34758111521274526]
HARRIS TEETER - 220,[['37119005527']],[0.04776632302405498]
FISHER RX DIRECT PHARMACY,[['37045951000']],[0.14822190611664296]
FOOD LION - 1358,"[['37183054016', '37183054019']]",[0.01531959852086635]
HILLCREST CONVALESCENT CENTER,"[['37063000402', '37063000500', '37063001503', '37063001503']]",[0.3046021240572572]
WAKE FOREST UNIVERSITY BAPTIST MEDICAL CENTER PHARMACY,"[['37067001000', '37067001100', '37067001100']]",[0.1992505353319058]
JOHNSON DRUG AND HOME MEDICAL,[['37133001301']],[0.13242518981688253]
BORDEAUX DRUG COMPANY,"[['37051001701', '37051001701']]",[0.24928571428571428]
BROOKCARE PHARMACY SERVICES,"[['37067004013', '37067004014']]",[0.0886373049841226]
HARRIS TEETER - 341,[['37081013602']],[0.22527187985499741]
WAL-MART SUPERCENTER - 4458,"[['37183053206', '37183053204']]",[0.061880279103929486]
RITE AID - 11394,"[['37183052505', '37183052506', '37183053714', '37183053715', '37183052506']]",[0.0616662898485191]
CANNON PHARMACY,[['37023020802']],[0.12268141880898145]
WALGREENS - 9527,"[['37081013602', '37081013602']]",[0.22527187985499741]
BRYSON CITY HEALTH MART PHARMACY,"[['37173960200', '37173960301', '37173960302', '37173980200', '37173960200']]",[0.17983392645314353]
HUDSON DISCOUNT DRUG,"[['37027030400', '37027030700', '37027030600']]",[0.1357475355969332]
SEA LEVEL PHARMACY,"[['37031970101', '37031970102', '37031980100', '37031990200', '37137990100', '37031970101']]",[0.060918693195774996]
WAL-MART SUPERCENTER - 2058,[['37183052701']],[0.1329240434037693]
PENDER MEMORIAL HOSPITAL,"[['37141920403', '37141920403']]",[0.10320284697508897]
WAYNESVILLE PHARMACY INCORPORATED,"[['37087921201', '37087921201']]",[0.041524846834581346]
RITE AID - 11503,"[['37051000600', '37051000702', '37051000702']]",[0.1692050907573545]
FORT BRAGG - WOMACK ARMY MEDICAL CENTER - CLARK HEALTH CLINIC-DOD,"[['37051003404', '37051003410', '37051003410']]",[0.07382169222032936]
ROCK DRUG STORE INCORPORATED,"[['37023020902', '37023020902']]",[0.10854147394387913]
COCHRANE-RIDENHOUR DRUG COMPANY,"[['37123960401', '37123960402', '37123960401']]",[0.10766511328941025]
HUNTER DRUG COMPANY INCORPORATED,"[['37185950300', '37185950400', '37185950300']]",[0.21847283107350393]
RITE AID - 11382,[['37145920400']],[0.25867195242814667]
CVS - 4253,"[['37067004012', '37067004011']]",[0.07480550568521843]
ID CONSULTANTS PHARMACY,"[['37119002910', '37119003102', '37119003111']]",[0.12126420318915306]
PROFESSIONAL PHARMACY,"[['37077970101', '37077970102', '37077970200', '37077970400']]",[0.2155857925428521]
CVS - 5341,"[['37179021013', '37179021014', '37179021015', '37179021013']]",[0.0713379141319095]
WAL-MART SUPERCENTER - 5320,[['37081012612']],[0.2802393272962484]
GLOBAL RX,"[['37135011103', '37135011107', '37135011211', '37135011107']]",[0.08885245901639344]
TAS DRUG,"[['37045950301', '37071030602', '37109070500', '37071030700']]",[0.14120741643677423]
RITE AID - 11345,"[['37057060601', '37057060700', '37081014408']]",[0.15663196016296968]
LINCOLN COMMUNITY HEALTH CENTER,"[['37063000700', '37063001001', '37063001301', '37063001400', '37063002300', '37063001301']]",[0.2433467355925713]
EAST CAROLINA UNIVERSTIY BRODY SCHOOL OF MEDICINE - BRODY OUTPATIENT PHARMACY,[['37147000701']],[0.43067937288656627]
NORTHWOODS DRUG COMPANY INCORPORATED,"[['37133001400', '37133001500', '37133001700', '37133001700']]",[0.1679816513761468]
HARRIS TEETER - 274,"[['37097061203', '37097061204', '37097061402']]",[0.04447115384615385]
CVS - 5583,"[['37119000700', '37119000900', '37119001400', '37119001400']]",[0.07851977082746313]
INGLES MARKETS - 147,"[['37045950302', '37045950601', '37045950604', '37045950601']]",[0.17624349577575113]
WAL-MART SUPERCENTER - 1385,[['37071031303']],[0.35204616998950683]
WALGREENS - 6690,[['37067002701']],[0.10967831392124237]
WAL-MART SUPERCENTER - 2472,"[['37067003805', '37067003805']]",[0.1675840978593272]
WAL-MART SUPERCENTER - 1132,"[['37151030804', '37151030806', '37151030201']]",[0.14967892586106246]
WALGREENS - 11692,[['37179020602']],[0.23067943030586038]
WALGREENS - 9931,[['37129011612']],[0.06966023561550282]
RITE AID - 11417,"[['37147000201', '37147000303']]",[0.4653503677893922]
BEACH PHARMACY,"[['37055970502', '37055990200', '37095990100', '37095990200', '37055970502']]",[0.10908052541404911]
VILLAGE PHARMACY,"[['37117970400', '37117970600', '37117970600']]",[0.19007250418293364]
RITE AID - 11448,"[['37025041001', '37025041002', '37025041201', '37159051502', '37159051801', '37025041002']]",[0.19379345273723467]
CVS - 5591,"[['37097061001', '37097060100']]",[0.18099032441661925]
RITE AID - 11459,"[['37071031004', '37071031102', '37071031204', '37071031102']]",[0.15388816076889472]
BRAME HUIE PHARMACY,[['37193960700']],[0.23523763802208353]
RITE AID - 11439,"[['37071030302', '37071030902', '37071030902']]",[0.09846461949265688]
SENIOR CARE PHARMACY,"[['37119005713', '37119005721', '37119005720']]",[0.06726936910663944]
CAROLINAS MEDICAL CENTER - BIDDLE POINT PHARMACY,"[['37119004102', '37119004500', '37119004700', '37119004700']]",[0.2186532507739938]
SALISBURY PHARMACY / MEDEXPRESS PHARMACY,"[['37159050400', '37159050400']]",[0.39744175422567385]
COOR'S PHARMACY AND MEDICAL SUPPLY,[['37191001900']],[0.3249630723781389]
CVS - 7013,"[['37021002803', '37021002702']]",[0.14075949367088608]
HARRIS TEETER - 272,"[['37119006210', '37119006220', '37119006221', '37119006209']]",[0.03743282475755142]
CVS - 7597,"[['37085070600', '37085070700', '37085070801', '37085070802', '37085070700']]",[0.15552757491815664]
CVS - 5568,"[['37041930102', '37041930201', '37041930202', '37041930101']]",[0.21963824289405684]
CVS - 5463,"[['37119005615', '37119005618', '37119005615']]",[0.039421979972113066]
RITE AID - 11336,[['37081016506']],[0.06370168964847543]
HAYESVILLE PHARMACY,"[['37043950201', '37043950201']]",[0.18130593304607226]
CVS - 7056,"[['37119004600', '37119004800', '37119005000', '37119004600']]",[0.19816985987989705]
GOLDSBORO DRUG COMPANY,"[['37191001500', '37191001800', '37191002000', '37191001800']]",[0.44858134801867594]
MEDICAL CENTER PHARMACY,"[['37035010900', '37035010900']]",[0.4358108108108108]
WALGREENS - 11713,"[['37101041112', '37101041113', '37183052902', '37101041112']]",[0.029339390497823206]
FAMILY MEDICAL SUPPLY,[['37085070500']],[0.14095928226363008]
SHELBY DRUGSTORE,"[['37045950800', '37045950900']]",[0.1925851125216388]
STANELY APOTHECARY,"[['37119001801', '37119001801']]",[0.19832826747720364]
LEXINGTON DRUG COMPANY,[['37057061400']],[0.5061076262793001]
WALGREENS - 7699,[['37025042402']],[0.13002552648372687]
INGLES MARKETS - 3,"[['37021001602', '37021001700', '37021001601']]",[0.08759124087591241]
RITE AID - 11368,[['37183053425']],[0.011135857461024499]
SAMS PHARMACY,"[['37061090801', '37061090803', '37061090804', '37061090804']]",[0.2479574761295403]
CVS - 7043,"[['37061090102', '37061090401', '37061090402', '37061090401']]",[0.20898876404494382]
WALGREENS - 10891,[['37045951000']],[0.14822190611664296]
CVS - 3440,"[['37179021016', '37179021016']]",[0.007267441860465116]
WALGREENS - 5761,"[['37119003201', '37119003203', '37119003110']]",[0.10568242166755178]
RITE AID - 11349,"[['37081012619', '37081012619']]",[0.1]
FARM FRESH - 6273,[['37139960300']],[0.5515239477503628]
WALGREENS - 9090,[['37001021000']],[0.42778249787595585]
CVS - 7529,"[['37183054108', '37183054112', '37183054112']]",[0.1128201908588649]
FAYETTEVILLE TREATMENT CENTER,"[['37051000200', '37051001401', '37051001402', '37051003800']]",[0.3434695385914898]
CABARRUS HEALTH ALLIANCE,"[['37025042101', '37025042202', '37025042101']]",[0.08470042796005706]
COOPERS PHARMACY INCORPORATED,"[['37125950503', '37125950504', '37125950507', '37125950507']]",[0.10376721577099648]
CVS - 7349,"[['37025042402', '37025042402']]",[0.13002552648372687]
CAROLINA DRUG,"[['37151031303', '37151031504', '37151031505', '37151031504']]",[0.060660537264369]
RITE AID - 11471,"[['37119002701', '37119002800', '37119002701']]",[0.016391752577319587]
AVERY PHARMACY,"[['37011930200', '37011930200']]",[0.07217651458489155]
CORAM SPECIALTY INFUSION SERVICES,"[['37183053612', '37183053609']]",[0.06492314751089699]
CVS - 7550,"[['37133000401', '37133000405']]",[0.07108636540204584]
CVS - 4197,"[['37089930502', '37089930600', '37089930600']]",[0.08438765182186235]
RITE AID - 11367,"[['37135011500', '37135012103']]",[0.12305025996533796]
RITE AID - 11388,"[['37183050300', '37183051102', '37183051200', '37183051200']]",[0.18306789606035206]
CVS - 5508,[['37017950401']],[0.40285801155366374]
WALGREENS - 11892,"[['37097061401', '37097061405', '37097061406', '37097061405']]",[0.02387531778490107]
WAL-MART - 1498,[['37081015705']],[0.08426073131955485]
KM HEALTH MART PHARMACY,"[['37045950400', '37045950400']]",[0.18306367432150314]
RITE AID - 11476,"[['37119002202', '37119002202']]",[0.05388272583201268]
WALGREENS - 11629,"[['37035010301', '37035010302', '37035010303', '37035010304', '37035010304']]",[0.17473821989528796]
FAMILYMED PHARMACY,"[['37035011601', '37035011702', '37109070901', '37035011601']]",[0.10260635110844818]
WAL-MART SUPERCENTER - 1236,"[['37191001302', '37191001302']]",[0.11433046202036022]
RITE AID - 11514,"[['37191000603', '37191000700']]",[0.23658854166666668]
MARKET STREET PHARMACY,"[['37129010100', '37129010200', '37129011200', '37129010200']]",[0.33214839121319845]
SEASHORE DURGS,"[['37019020304', '37019020313', '37019020314', '37019020315', '37019020316', '37019020315']]",[0.09082499855466265]
ANDERSON DRUG STORE,"[['37017950101', '37017950401']]",[0.2705151871119315]
PHYSICIANS PHARMACY ALLIANCE,"[['37183053405', '37183053419', '37183053405']]",[0.04428745062291097]
MARS HILL MEDICAL CENTER,[['37115010602']],[0.08975248669905159]
INGLES MARKETS - 177,"[['37089931401', '37089931402', '37089931500', '37089931402']]",[0.11709034024247164]
BYNUM'S DRUG STORE,"[['37049960102', '37049960800', '37049960900', '37049960900']]",[0.2788888888888889]
CVS - 3527,"[['37151030100', '37151030202', '37151030700', '37151030201']]",[0.18012422360248448]
CRAMERTON DRUG COMPANY,"[['37071032202', '37071032403', '37071032508', '37071032510', '37071032202']]",[0.07324116205810291]
CVS - 7573,"[['37007920301', '37179020100', '37179020800', '37179020800']]",[0.09572816395333363]
HARRIS TEETER - 287,"[['37147001003', '37147000301']]",[0.039839135352519796]
CVS - 7884,"[['37021002204', '37021002303', '37021002304', '37021002204']]",[0.05772997887459189]
CVS - 3828,[['37171930901']],[0.15498938428874734]
TYRO FAMILY PHARMACY,"[['37057061701', '37057061703', '37057061704', '37057061705', '37059080400', '37057061703']]",[0.1345308053368814]
NORTHSIDE FAMILY PHARMACY,"[['37065020600', '37127010603', '37127010700', '37127010801', '37127010603']]",[0.19453094589334372]
BEAUFORT DRUG COMPANY,[['37031970305']],[0.09270334928229665]
INGLES MARKET - 33,"[['37121950300', '37121950300']]",[0.18253968253968253]
RITE AID - 11533,"[['37031970103', '37031970200', '37031970301', '37031970304', '37031970304']]",[0.16307908282639214]
NATURE'S PHARMACY AND COMPOUNDING CENTER,"[['37021000800', '37021000800']]",[0.08229136376853737]
RITE AID - 11561,[['37087920900']],[0.19976567076742824]
MEDSOURCE PHARMACY,"[['37107010700', '37107010700']]",[0.33092726263187117]
WALGREENS - 7398,"[['37181961000', '37181960500']]",[0.21389358108108109]
CVS - 7213,"[['37119005849', '37119005849']]",[0.017587939698492462]
RITE AID - 11478,"[['37119001911', '37119001920', '37119001910']]",[0.1623936672967864]
BOONE DRUG,[['37189920601']],[0.6230936819172114]
PERSON STREET PHARMACY,"[['37183050400', '37183050500', '37183050600', '37183050400']]",[0.1031292234119971]
CHINA GROVE DRUG COMPANY,"[['37159051201', '37159051700', '37159051700']]",[0.1828257384932448]
CVS - 7317,"[['37193960300', '37193960401', '37193960402', '37193960500', '37193960500']]",[0.18865415110747352]
WAL-MART SUPERCENTER - 1317,[['37021001900']],[0.12997416020671834]
KEEVER PHARMACY,"[['37109070300', '37109070100']]",[0.17942664418212478]
CVS - 2754,"[['37183053617', '37183053618', '37183053617']]",[0.09844730756524611]
INGLES MARKETS - 24,"[['37021002306', '37021002306']]",[0.07836107554417414]
CVS - 2561,"[['37119003019', '37119003020']]",[0.01984317490798528]
LONGLEAF NEURO MEDICAL TREATMENT CENTER,"[['37195000701', '37195000702', '37195001200', '37195000801']]",[0.30096144508109157]
PIKE'S PHARMACY,"[['37119001200', '37119001300', '37119001300']]",[0.1593151913875598]
PINK HILL PHARMACY INCORPORATED,"[['37107011201', '37061090504']]",[0.10984661058881742]
WAL-MART SUPERCENTER - 1392,"[['37129011501', '37129011605', '37129011606', '37129010501']]",[0.23437695679398873]
WAL-MART SUPERCENTER - 1034,"[['37045951602', '37045951000']]",[0.20052737317930688]
WAL-MART SUPERCENTER - 3595,"[['37051003206', '37093970108', '37051003206']]",[0.04102086003962242]
NORTHERN HOSPITAL OF SURRY COUNTY,"[['37171930400', '37171930400']]",[0.5084605860503508]
RITE AID - 11443,"[['37071033306', '37071033309', '37071033312', '37071033313', '37071032702']]",[0.05058951417342587]
HEALTH PARK PHARMACY,"[['37183053723', '37183053723']]",[0.03414911781445646]
TODD'S PHARMACY OF CURRITUCK,"[['37029950101', '37053110102', '37053110201', '37053110202', '37053110301', '37053110201']]",[0.06306913996627318]
FAMILY CARE PHARMACY OF JACKSONVILLE,"[['37133002600', '37133002600']]",[0.32483660130718955]
WOODARDS PHARMACY,"[['37143920101', '37143920201', '37143920201']]",[0.16005519144532598]
HARRIS TEETER - 91,"[['37081012703', '37081012703']]",[0.17745910822316827]
COOKES PHARMACY INCORPORATED,"[['37097060400', '37097060400']]",[0.22932330827067668]
INGLES MARKETS - 34,[['37021003002']],[0.13416699231470627]
WAL-MART SUPERCENTER - 5085,[['37071032302']],[0.299744081893794]
